group,seed,episode,tau,phi_g
trained,1,0,-279,2.1975578733607595
trained,1,0,-274,2.90369557663129
trained,1,0,-269,2.4650426946422117
trained,1,0,-264,1.8751818989319669
trained,1,0,-259,1.2271615390910655
trained,1,0,-254,0.5020240694215276
trained,1,0,-249,1.10259171581094
trained,1,0,-244,1.2738613059802097
trained,1,0,-239,1.2430297061114242
trained,1,0,-234,0.9286893003858132
trained,1,0,-229,1.1422982886830448
trained,1,0,-224,1.0367184889469423
trained,1,0,-219,0.7526962652022606
trained,1,0,-214,1.854677290869736
trained,1,0,-209,1.391185200249625
trained,1,0,-204,1.2860178898635017
trained,1,0,-199,1.6851677449157938
trained,1,0,-194,1.6034029409153354
trained,1,0,-189,1.341581472593263
trained,1,0,-184,1.257977874482871
trained,1,0,-179,1.246422357353378
trained,1,0,-174,1.4617543089260723
trained,1,0,-169,1.4674627278247587
trained,1,0,-164,1.4443177872820834
trained,1,0,-159,1.3637764491874231
trained,1,0,-154,1.1093539997985546
trained,1,0,-149,1.118923189739788
trained,1,0,-144,1.3188964054680348
trained,1,0,-139,1.231138887975377
trained,1,0,-134,1.164015658930103
trained,1,0,-129,1.1907196432103173
trained,1,0,-124,1.1428878282989527
trained,1,0,-119,1.0114402063682042
trained,1,0,-114,0.9425146285624891
trained,1,0,-109,0.9740636517898671
trained,1,0,-104,0.9886942469955928
trained,1,0,-99,1.0020857712703255
trained,1,0,-94,0.9624729083956527
trained,1,0,-89,0.9687306316213768
trained,1,0,-84,0.7612883042313494
trained,1,0,-79,0.7991630298938145
trained,1,0,-74,0.7951735065015384
trained,1,0,-69,0.7444584857296633
trained,1,0,-64,0.5385679899806046
trained,1,0,-59,0.4556094314358161
trained,1,0,-54,0.7486805294903032
trained,1,0,-49,0.802014826704088
trained,1,0,-44,0.7739102440084821
trained,1,0,-39,0.694486317020961
trained,1,0,-34,1.0979166422682078
trained,1,0,-29,0.9332834444095254
trained,1,0,-24,1.1220434726943176
trained,1,0,-19,1.419549576678409
trained,1,0,-14,1.784239050306903
trained,1,0,-9,2.090036345509377
trained,1,0,-4,2.1644694924919916
trained,1,0,1,2.0216933488874664
trained,1,0,6,1.9209417805666427
trained,1,0,11,1.4478420148361886
trained,1,0,16,1.4106048261240371
trained,1,0,21,1.3916033785893738
trained,1,0,26,1.3023237088087452
trained,1,0,31,1.338993118866235
trained,1,0,36,1.3845695086507115
trained,1,0,41,1.3165642295426712
trained,1,0,46,1.2459584226666656
trained,1,0,51,1.2309620369167567
trained,1,0,56,1.2317655595865449
trained,1,0,61,0.9207598654949282
trained,1,0,66,1.179245674055339
trained,1,0,71,1.1248573331193072
trained,1,0,76,1.0124831686148803
trained,1,0,81,0.9450949241560769
trained,1,0,86,0.997908383413619
trained,1,0,91,0.894221671748043
trained,1,0,96,0.8558761546546414
trained,1,0,101,0.7594979524649963
trained,1,0,106,0.8161942764084378
trained,1,0,111,0.8455505273760566
trained,1,0,116,0.901935190394568
trained,1,0,121,0.9419418246109801
trained,1,0,126,0.9689063674678396
trained,1,0,131,0.9787134754570921
trained,1,0,136,0.9332286333377834
trained,1,0,141,0.8264422332571975
trained,1,1,-279,1.050610700290545
trained,1,1,-274,0.5696985684256031
trained,1,1,-269,0.5776484127860717
trained,1,1,-264,0.8254538636832494
trained,1,1,-259,1.933992061321413
trained,1,1,-254,2.350571423680506
trained,1,1,-249,1.0131469019589314
trained,1,1,-244,0.7764805486762341
trained,1,1,-239,0.5097567210255913
trained,1,1,-234,0.7128553470410501
trained,1,1,-229,0.9160695006732057
trained,1,1,-224,0.8577625175532396
trained,1,1,-219,0.8444287677366755
trained,1,1,-214,1.0039770811397997
trained,1,1,-209,0.6449720941603021
trained,1,1,-204,0.8137683171026164
trained,1,1,-199,0.9959452444663168
trained,1,1,-194,1.1830492731143787
trained,1,1,-189,1.2278998800871705
trained,1,1,-184,1.3351395589726822
trained,1,1,-179,1.4939338290428958
trained,1,1,-174,1.6192667789195745
trained,1,1,-169,1.0104147806880845
trained,1,1,-164,1.6233317687710267
trained,1,1,-159,1.5457850509789834
trained,1,1,-154,1.3905430712539253
trained,1,1,-149,0.9522345610516715
trained,1,1,-144,0.9497875516083838
trained,1,1,-139,0.8791177994207977
trained,1,1,-134,1.0777557839482004
trained,1,1,-129,0.9742486302527037
trained,1,1,-124,1.1141452032735213
trained,1,1,-119,1.0051323803854573
trained,1,1,-114,0.9192179328508032
trained,1,1,-109,0.7841759052523897
trained,1,1,-104,0.622205711868088
trained,1,1,-99,1.0630638025102745
trained,1,1,-94,1.0532148926350096
trained,1,1,-89,0.8946432647358511
trained,1,1,-84,0.632930124355674
trained,1,1,-79,0.9263256225358483
trained,1,1,-74,0.6116215985760638
trained,1,1,-69,0.7671837371653616
trained,1,1,-64,0.8269941198122992
trained,1,1,-59,0.96279016032808
trained,1,1,-54,0.946730901332518
trained,1,1,-49,0.9661808205331246
trained,1,1,-44,1.0425192088829722
trained,1,1,-39,1.0084502363985508
trained,1,1,-34,0.715050244127575
trained,1,1,-29,0.6196946194260016
trained,1,1,-24,0.4500306435937317
trained,1,1,-19,0.9167422612408447
trained,1,1,-14,1.1527705466351654
trained,1,1,-9,1.2837184361482241
trained,1,1,-4,0.9211068297017233
trained,1,1,1,0.9857994843056084
trained,1,1,6,1.2180135502860812
trained,1,1,11,1.1706443226700096
trained,1,1,16,1.1868440668132132
trained,1,1,21,1.3904296461268886
trained,1,1,26,1.2940216545900032
trained,1,1,31,1.4906540458639839
trained,1,1,36,1.2458576967486934
trained,1,1,41,1.1876046263976574
trained,1,1,46,0.7568094475244511
trained,1,1,51,0.7277566237956536
trained,1,1,56,0.8590858314417583
trained,1,1,61,0.6372643240211289
trained,1,1,66,0.6177885065132322
trained,1,1,71,0.5903338719197031
trained,1,1,76,0.6321573389748477
trained,1,1,81,0.7254071929464536
trained,1,1,86,0.9970388666732215
trained,1,1,91,1.0633172372411184
trained,1,1,96,1.0051647596923328
trained,1,1,101,0.9050250813181303
trained,1,1,106,0.81947435257683
trained,1,1,111,0.42425677713623333
trained,1,1,116,0.8212169941027847
trained,1,1,121,1.1707776834237698
trained,1,1,126,1.517631634368164
trained,1,1,131,1.552739866208251
trained,1,1,136,1.4741191576713764
trained,1,1,141,1.2039388884381073
trained,1,2,-279,2.027818862549344
