seed,episode,phi_r_g_ar1_episode_median
1,0,1.7884748241090722
1,1,1.9097742519440668
1,2,1.7415709781429025
1,3,2.0301645347388617
1,4,1.7085838196623744
1,5,1.521339821052314
1,6,1.756758703552352
1,7,1.6856285396366935
1,8,1.8489247187699906
1,9,1.7444506432540683
2,0,1.6703988698554977
2,1,1.6097571322379631
2,2,1.740435238288133
2,3,1.570061402459411
2,4,1.582897211688774
2,5,1.8669983776403982
2,6,1.428644015832508
2,7,1.8163194830404596
2,8,1.729616949254761
2,9,1.825886188835141
3,0,1.813698244904409
3,1,1.4969324997211353
3,2,1.6791022829987765
3,3,1.659080149962771
3,4,1.6418533946164955
3,5,1.7510533383799944
3,6,1.6552181958271999
3,7,1.629546284675191
3,8,1.7978639094163325
3,9,1.6700752086944384
4,0,1.6543634550245638
4,1,1.5935866011724915
4,2,1.6397265004555988
4,3,1.7903650808993596
4,4,1.7489052578100117
4,5,1.748557641666222
4,6,1.6772931060418061
4,7,1.7245860420679895
4,8,1.8429114886490616
4,9,1.8226233769565816
5,0,1.4902284473346719
5,1,1.923134095853009
5,2,1.7121281369577583
5,3,1.784876334223965
5,4,1.7975865608746302
5,5,1.7407268441559398
5,6,1.5758292771683973
5,7,1.7594140905499305
5,8,1.5581841159490226
5,9,1.8583122682919828
6,0,1.692651474993831
6,1,1.6257420988563298
6,2,1.6745482683950805
6,3,1.3827002762829337
6,4,1.8519269582923916
6,5,1.6154999854052186
6,6,1.8080814169328874
6,7,1.5215424520792173
6,8,1.6361044939088734
6,9,1.8641706506625293
7,0,1.6904308032832152
7,1,1.5411079973843782
7,2,1.665757331201037
7,3,1.8238856053393695
7,4,1.6849057171141575
7,5,1.7550578456904282
7,6,1.9234933522756155
7,7,1.6701089302628453
7,8,1.662658681895338
7,9,1.7894060675257186
8,0,1.899793540282607
8,1,1.8212168575868695
8,2,1.6277354120774676
8,3,1.8626799353729782
8,4,1.619470620671716
8,5,1.7572342531478649
8,6,1.955418289582772
8,7,1.7693228019432128
8,8,1.6694114591839697
8,9,1.7567020621054874
9,0,1.636932500160634
9,1,1.9125895128330548
9,2,1.7686040727782069
9,3,1.931899252279164
9,4,1.7856126591493497
9,5,1.652368638613988
9,6,1.6580131031302816
9,7,1.830862769619721
9,8,1.5815753349239954
9,9,1.9139492053384928
10,0,1.350394331008818
10,1,1.5899342386910935
10,2,1.7055401769362206
10,3,1.5913059620496313
10,4,1.8510554082477135
10,5,1.454191557856551
10,6,1.519198063236791
10,7,1.736224773254614
10,8,1.5273229554476657
10,9,1.5420555595639125
11,0,1.5453111619827862
11,1,1.5690952751029903
11,2,1.6904506612538044
11,3,1.608749672700565
11,4,1.5491349991676726
11,5,1.5216434145060143
11,6,1.755301923255058
11,7,1.6014050260674653
11,8,1.6780835572592498
11,9,1.6712628375043979
12,0,1.6800203074366442
12,1,1.6124630410063228
12,2,1.7225032774230598
12,3,1.7415749199556874
12,4,1.8130739913442935
12,5,1.771855360174722
12,6,2.0032233738416236
12,7,1.797972027925125
12,8,1.7341016666071587
12,9,1.5165872988872036
13,0,1.7043830541953646
13,1,1.6542847307896744
13,2,1.6839134724990443
13,3,1.370168060162627
13,4,1.5425555732364673
13,5,1.553715725554202
13,6,1.7860581028097948
13,7,1.712794497699067
13,8,1.5520429557055513
13,9,1.6373144550079752
14,0,1.4724153023481092
14,1,1.5713876989656068
14,2,1.5082749224516672
14,3,1.6104559508384702
14,4,1.4626829349654296
14,5,1.5563715090563015
14,6,1.782474265328914
14,7,1.3853006746176462
14,8,1.5518079228462869
14,9,1.7334697946845201
15,0,1.5746910885748246
15,1,1.7410818683392577
15,2,1.790916657167725
15,3,1.717681823833737
15,4,1.5616530578397736
15,5,1.7876085450373846
15,6,1.5331769445986554
15,7,1.6720335104468038
15,8,1.5901460907514635
15,9,1.686096518133884
16,0,1.5788838177867626
16,1,1.5843116840488305
16,2,1.550278985673614
16,3,1.543500810126683
16,4,1.576139611923613
16,5,1.6762339744107053
16,6,1.611081522558758
16,7,1.7273358084787482
16,8,1.5631812737673065
16,9,1.3591327562832338
17,0,1.5147045057650936
17,1,1.52082113917827
17,2,1.5445921941726009
17,3,1.279006526291814
17,4,1.5951780839616791
17,5,1.6355958192898217
17,6,1.5642538964971393
17,7,1.5468770355421033
17,8,1.5944156802228782
17,9,1.4429385581210372
18,0,1.5872836621687145
18,1,1.6835388780491676
18,2,1.5848383015150702
18,3,1.594593240241137
18,4,1.7451078639070863
18,5,1.871145233424794
18,6,1.7677113957199668
18,7,1.7398387623586773
18,8,1.9116223624470794
18,9,1.8410710613108765
19,0,1.6425415716386589
19,1,1.675013465687162
19,2,1.6494453293487645
19,3,1.6006666539974668
19,4,1.7314417609721622
19,5,1.7333302703944014
19,6,1.577870686276258
19,7,1.7237462361836493
19,8,1.498470594873624
19,9,1.5255407166361155
20,0,1.678621344064288
20,1,1.5768612461867502
20,2,1.9438256276125134
20,3,1.6086720760611766
20,4,1.6494886995862799
20,5,1.7903205529617467
20,6,1.6214121306013394
20,7,1.5596086667155635
20,8,1.6552187402536598
20,9,1.6567783642181002
21,0,1.6708048603823613
21,1,1.5163905055225626
21,2,1.598746377862351
21,3,1.6180848619827541
21,4,1.9740014003167645
21,5,1.8960432877722995
21,6,1.8629531190348816
21,7,1.565913518483009
21,8,1.4715773280362292
21,9,1.5074222599068194
22,0,1.6747728554060428
22,1,1.7133261237699735
22,2,1.7669658938944686
22,3,1.8497103249725293
22,4,1.554683457507786
22,5,1.6090510946970908
22,6,1.7463798242379267
22,7,1.47195472484759
22,8,1.8294536323538533
22,9,1.5510939478583987
23,0,1.7693153849907657
23,1,1.9036395931216616
23,2,1.9514794037453558
23,3,1.6882708229062677
23,4,1.9256838530648785
23,5,1.8270077085861933
23,6,1.6333088069529214
23,7,1.6998390133509935
23,8,1.602885912491707
23,9,1.6455531541056445
24,0,1.761343998872461
24,1,1.7274785566772612
24,2,1.6659750520447827
24,3,1.7112167671467973
24,4,1.6384128102010038
24,5,1.6966779367992186
