seed,phi_r_g_ar1
1,1.7506046734032101
2,1.7000079095551293
3,1.6645776793286047
4,1.736571841867106
5,1.750070467352935
6,1.655326381151977
7,1.6876682601986863
8,1.763278527545539
9,1.7771083659637783
10,1.565994899127503
11,1.6050773493840151
12,1.7378382932814231
13,1.645799592898825
14,1.554089715951294
15,1.679065014290344
16,1.5775117148551878
17,1.545734614857352
18,1.7424733131328818
19,1.6459934504937117
20,1.6523537199199698
21,1.6084156199225526
22,1.694049489588008
23,1.7345771991708796
24,1.7021296554574112
25,1.7728012705167442
26,1.6070333150675031
27,1.1738296366938537
28,1.5924111141085466
29,1.568221754154092
30,1.6553674046492177
