seed,episode,rep,phi_r_g_ar1
1,0,0,1.4548588925577004
1,0,1,1.7884748241090722
1,0,2,2.0030410432867036
1,0,3,1.5769121695647028
1,0,4,2.122108210427258
1,1,0,1.9097742519440668
1,1,1,2.0777223688672124
1,1,2,2.110977554588302
1,1,3,1.8696295702649133
1,1,4,1.379224576108112
1,2,0,1.6920919790423468
1,2,1,1.7803539848912833
1,2,2,1.1172582290728568
1,2,3,1.7415709781429025
1,2,4,1.8012660179334508
1,3,0,1.9341445275467435
1,3,1,2.0675112930008264
1,3,2,2.0535070938380064
1,3,3,1.9155863658753538
1,3,4,2.0301645347388617
1,4,0,2.2958242622270677
1,4,1,1.7521316059486483
1,4,2,1.7085838196623744
1,4,3,1.4738771689852674
1,4,4,1.5423177776519954
1,5,0,2.05383065745326
1,5,1,1.9539191511393255
1,5,2,1.3813583415149733
1,5,3,1.521339821052314
1,5,4,1.367172582539136
1,6,0,1.6189347039497728
1,6,1,1.7754797526848618
1,6,2,1.6598307780014863
1,6,3,1.756758703552352
1,6,4,1.8940977648610313
1,7,0,1.6856285396366935
1,7,1,1.9668974551131284
1,7,2,1.6235086758889592
1,7,3,1.6146230155773171
1,7,4,1.8098739914590762
1,8,0,1.7309768602531959
1,8,1,2.7208619061472135
1,8,2,1.8803355197667362
1,8,3,1.6923137380475808
1,8,4,1.8489247187699906
1,9,0,1.6880286896319026
1,9,1,1.7444506432540683
1,9,2,1.534412219127554
1,9,3,2.2555448194482732
1,9,4,1.7767721606741493
2,0,0,1.6888836239957072
2,0,1,1.6658246506984302
2,0,2,1.6703988698554977
2,0,3,1.392434723037554
2,0,4,1.8975183013546557
2,1,0,1.5729910706599037
2,1,1,1.6097571322379631
2,1,2,1.63662261007272
2,1,3,1.4848425412950403
2,1,4,1.6237162538202377
2,2,0,1.740435238288133
2,2,1,1.6773776465965233
2,2,2,1.7627980170149649
2,2,3,1.5827030490349752
2,2,4,2.0808054016460327
2,3,0,1.5525703017201922
2,3,1,1.941791344685402
2,3,2,1.570061402459411
2,3,3,1.6822603861298056
2,3,4,1.516302113922257
2,4,0,1.737732988384462
2,4,1,1.767039582966968
2,4,2,1.4620925309789585
2,4,3,1.582897211688774
2,4,4,1.581686561447125
2,5,0,1.3897565578203155
2,5,1,1.8669983776403982
2,5,2,2.1023977080320333
2,5,3,1.5933604940907742
2,5,4,2.0499461894317
2,6,0,1.428644015832508
2,6,1,1.9398366320282263
2,6,2,1.3502716527687069
2,6,3,1.420713727942672
2,6,4,1.8514009610331181
2,7,0,1.8163194830404596
2,7,1,2.1387677959900486
2,7,2,1.8109373498081414
2,7,3,1.463749596521859
2,7,4,1.877242980749741
2,8,0,1.827873240995224
2,8,1,1.7136673140064327
2,8,2,1.575996910603072
2,8,3,1.729616949254761
2,8,4,1.8378594908147456
2,9,0,1.825886188835141
2,9,1,1.6193472713498769
2,9,2,1.7473521725363006
2,9,3,1.9909600100270248
2,9,4,1.8652007534154924
3,0,0,1.589487049434154
3,0,1,2.3076283767111967
3,0,2,1.8622280983898993
3,0,3,1.813698244904409
3,0,4,1.7116505228024819
3,1,0,1.3229213117532383
3,1,1,1.6579124419767235
3,1,2,2.0141066834159997
3,1,3,1.4304089943404015
3,1,4,1.4969324997211353
3,2,0,1.5449718780090533
3,2,1,1.5888373936614957
3,2,2,1.6791022829987765
3,2,3,1.6799822030832223
