contrast,n_seeds,median_effect,ci95_low,ci95_high,wilcoxon_p,n_positive,n_negative,n_zero,metric,effect_type
fig4_learning|phi_r_g,30,-1.3837285102998444,-1.6667775350644867,-1.1323199523706262,3.725290298461914e-09,1,29,0,phi_r_g,learning_48kD_minus_0kD
fig4_coupling|phi_r_g,30,0.13634116943870556,0.04018151325574426,0.27599775995809783,0.004031794145703316,20,10,0,phi_r_g,coupled48k_minus_default48k
fig4_learning|group_decoupling_g,30,1.1940977980546321,0.8620009798960331,1.323132581944425,1.6391277313232422e-07,28,2,0,group_decoupling_g,learning_48kD_minus_0kD
fig4_coupling|group_decoupling_g,30,-0.28392484098623927,-0.5926603351264278,-0.10696539433493878,0.0050126127898693085,5,25,0,group_decoupling_g,coupled48k_minus_default48k
fig4_learning|group_downward_g,30,-2.3680662874584186,-2.7811125406936785,-1.9735061586332243,1.862645149230957e-09,0,30,0,group_downward_g,learning_48kD_minus_0kD
fig4_coupling|group_downward_g,30,0.3987050574701445,0.3051737895606157,0.5599778383321803,0.0005548261106014252,23,7,0,group_downward_g,coupled48k_minus_default48k
fig4_learning|group_part_driven_g,30,-0.03585560238169219,-0.04615471810428598,0.0017639489921917328,0.00577649287879467,10,20,0,group_part_driven_g,learning_48kD_minus_0kD
fig4_coupling|group_part_driven_g,30,-0.0015769086013479143,-0.024182619835198108,0.012341856723080163,0.583757072687149,14,16,0,group_part_driven_g,coupled48k_minus_default48k
fig4_learning|phi_r_z,30,0.029684955497241698,0.014920971300410455,0.03637686459347076,5.973502993583679e-06,25,5,0,phi_r_z,learning_48kD_minus_0kD
fig4_coupling|phi_r_z,30,0.011301790931012218,-0.012957538960689536,0.03100086903170319,0.5027610473334789,18,12,0,phi_r_z,coupled48k_minus_default48k
