condition,checkpoint,seed,episode,external_sha256,phi_r_g,phi_r_z,group_decoupling_g,group_downward_g,group_part_driven_g,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_g_shuffled,whole_to_single_sum,whole_to_parts,downward_reconstructed,downward_reconstruction_error
coupled,48000,1,0,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,1.5492877948541277,0.0243160476123275,-0.9920214673653076,2.508456972468016,0.0441138016495177,1.4256722307668168,0.2457549854920984,1.074895214651466,1.21361242797041,0.1732983678753816,1.121546176622224,-0.9920214673653076,-1.4606616034534257,-1.241547025807438,,2.3351586045926336,0.1732983678753816,2.5084569724680152,-8.881784197001252e-16
coupled,48000,1,1,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,2.022324452889501,0.243405577318298,-0.9932928678113324,3.000575448272468,0.0759472675212473,1.3245323493803394,0.2904994103426195,1.4635043710485234,1.280497499290138,0.2037605799115011,1.5163173690708285,-0.9932928678113324,-1.5361449059181649,-1.4664439573320702,,2.7968148683609666,0.2037605799115011,3.0005754482724676,-4.440892098500626e-16
coupled,48000,1,2,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,2.650613570063052,0.0792141149442989,-1.3878073024034885,3.955016698790919,0.1933703430129307,2.161604139363401,0.6229364977143073,1.459299491239637,1.872094982174899,0.6250937882265726,1.4578279283894475,-1.3878073024034885,-2.168984255714858,-1.8814855295895556,,3.3299229105643464,0.6250937882265726,3.955016698790919,0.0
coupled,48000,1,3,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,1.872183189763541,0.0633093020817769,-1.1837305517857812,3.0001843578995127,0.0259622110270107,1.607829327370426,0.3289543638090508,1.321747595431392,1.3207478606803311,0.02239342314164,1.6570430740775413,-1.1837305517857812,-1.9080612442258744,-1.324507831357984,,2.9777909347578726,0.02239342314164,3.0001843578995127,0.0
coupled,48000,1,4,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,1.9107820058107856,0.0300378015015345,-0.9780359753190186,2.7959344102502746,0.0909150503566129,1.4925617554202122,0.4149191280408146,1.2201550144301587,1.1847967970500544,0.053821611261376,1.557316001938844,-0.9780359753190186,-1.8020194709366415,-1.2347013765979309,,2.7421127989888983,0.053821611261376,2.795934410250274,-4.440892098500626e-16
coupled,48000,1,5,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,2.132832044219363,0.1279224355594183,-0.5239670633089784,2.557260329016966,0.0684454905280387,1.2958943350654335,0.3020978532684979,1.132191848616944,1.105033321632281,0.0498570711691415,1.4023699362155433,-0.5239670633089784,-1.5306482923128644,-1.1310902541099723,,2.507403257847824,0.0498570711691415,2.5572603290169655,-4.440892098500626e-16
coupled,48000,1,6,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,1.4402893101714933,0.0287707171888663,-0.9942283172416602,2.406833525507768,0.0427405528302338,1.5489948321367235,0.2390273513514444,1.0341163952311512,1.2171517566254932,0.1772451791427398,1.0124365897395349,-0.9942283172416602,-1.553133290235928,-1.2262647356531575,,2.229588346365028,0.1772451791427398,2.4068335255077677,-4.440892098500626e-16
coupled,48000,1,7,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,1.9085913644174963,0.3604835926495953,-1.025990321177665,3.0070440666970946,0.127916413735535,1.2281469394044624,0.6474221116816741,1.2598219065130545,1.0687569392358638,0.3166919616074701,1.6215951658537604,-1.025990321177665,-1.7408279329626262,-1.26664661090103,,2.690352105089624,0.3166919616074701,3.007044066697094,-4.440892098500626e-16
coupled,48000,1,8,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.210885663999864,0.1248253284713274,-0.3094078906821833,2.405425773856731,0.0487491109221609,0.6259301315552857,1.1040511543003215,0.7339783217299312,0.6004904204707888,0.1476966387739655,1.6572387146119765,-0.3094078906821833,-1.6817404587074922,-0.7334700379558852,,2.2577291350827653,0.1476966387739655,2.405425773856731,0.0
coupled,48000,1,9,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,1.867976741192751,0.1386796693773989,-0.6163823482896902,2.396795171578008,0.0850388233932535,0.9067745051310828,0.6133905554134591,0.8959759530635472,0.7998300078386675,0.1919882829286308,1.4049768808107097,-0.6163823482896902,-1.4375386849100364,-0.893563505304799,,2.2048068886493772,0.1919882829286308,2.396795171578008,0.0
