condition,checkpoint,metric,n_seeds,median,ci95_low,ci95_high
default,12000,phi_r_g,30,2.2098065224162013,2.1082658030685355,2.425435317690932
default,12000,group_decoupling_g,30,0.3548822009726379,0.20210756975720612,0.6449446262146159
default,12000,group_downward_g,30,1.7391841608722296,1.5262329643579815,1.9304129124360871
default,12000,group_part_driven_g,30,0.07795432305396491,0.06751156914195539,0.08341789992636653
default,12000,phi_r_z,30,0.0531746663363706,0.04114470591062777,0.05812654924758938
default,18000,phi_r_g,30,2.117757656041471,1.894847095626485,2.198284313513143
default,18000,group_decoupling_g,30,0.15453600672146217,-0.14539169064466784,0.5038809754542644
default,18000,group_downward_g,30,1.621543348263054,1.4223204934613178,2.036652054035388
default,18000,group_part_driven_g,30,0.07230225989382225,0.06225687195967164,0.08600165169759122
default,18000,phi_r_z,30,0.05130270789037581,0.03638900338938788,0.06371546953995363
default,24000,phi_r_g,30,2.0198675711203196,1.9658304102755744,2.2377549124432363
default,24000,group_decoupling_g,30,0.16591847862501385,0.045864355939565504,0.5044488849177987
default,24000,group_downward_g,30,1.6991770362979577,1.5217074634573458,2.039327625325013
default,24000,group_part_driven_g,30,0.05957904055890895,0.04677470362267286,0.0682675062112795
default,24000,phi_r_z,30,0.04228886925030565,0.03492701439883068,0.05573496704725498
default,30000,phi_r_g,30,1.9686580329331682,1.913490989242995,2.082956937292466
default,30000,group_decoupling_g,30,-0.08393788467419294,-0.18840818488274635,0.12816803483180617
default,30000,group_downward_g,30,1.941742611600925,1.6255251641820976,2.158544860211377
default,30000,group_part_driven_g,30,0.0667057589990856,0.05474607834231465,0.07969234026272154
default,30000,phi_r_z,30,0.04914305631759101,0.03604801230416729,0.07087592022582961
default,36000,phi_r_g,30,1.9955405161519832,1.9198457358489205,2.0857694887992517
default,36000,group_decoupling_g,30,0.011486593900224773,-0.30518987470667813,0.3095155780635491
default,36000,group_downward_g,30,1.9035130016394648,1.6728888017097983,2.071133768092364
default,36000,group_part_driven_g,30,0.06948488364884456,0.06073100394968875,0.07537342755787801
default,36000,phi_r_z,30,0.04375285172646878,0.03370563883480348,0.0651849697908188
default,42000,phi_r_g,30,1.9434943554139557,1.8391402327898136,1.9760190462170946
default,42000,group_decoupling_g,30,-0.13737839008743802,-0.24628301251408347,0.13086290807321954
default,42000,group_downward_g,30,1.9453695510981253,1.7530749869338127,2.2147972779328877
default,42000,group_part_driven_g,30,0.06783021759518348,0.0512184602365352,0.07447656494116928
default,42000,phi_r_z,30,0.046894043007965756,0.041907731371007256,0.05763744578116929
default,48000,phi_r_g,30,1.9273131028804606,1.8342144191646368,2.0308344762249084
default,48000,group_decoupling_g,30,0.012707914651456154,-0.2881408601527494,0.32116340724308334
default,48000,group_downward_g,30,1.8483274626457717,1.5977882981992884,2.126554856019461
default,48000,group_part_driven_g,30,0.07195508376080836,0.06256161194190968,0.08801763838459786
default,48000,phi_r_z,30,0.056829350599061815,0.04602737769184199,0.06228737536285836
coupled,12000,phi_r_g,30,2.2098065224162013,2.100615629320225,2.425435317690932
coupled,12000,group_decoupling_g,30,0.3548822009726379,0.20210756975720612,0.6449446262146159
coupled,12000,group_downward_g,30,1.7391841608722296,1.5262329643579815,1.9304129124360871
coupled,12000,group_part_driven_g,30,0.07795432305396491,0.06751156914195539,0.08341789992636653
coupled,12000,phi_r_z,30,0.0531746663363706,0.04114470591062777,0.05819593367351515
coupled,18000,phi_r_g,30,2.1194033826164844,1.9862366145576362,2.31616055062033
coupled,18000,group_decoupling_g,30,0.09107977181629257,-0.22939715518276016,0.24364500257644228
coupled,18000,group_downward_g,30,1.9173952880072473,1.792029571243535,2.192759231446667
coupled,18000,group_part_driven_g,30,0.06885276923746822,0.05951400359187087,0.07562041696424537
coupled,18000,phi_r_z,30,0.04793258343084357,0.03823476140708757,0.05720151041199391
coupled,24000,phi_r_g,30,2.0861258090018246,1.9949194782246507,2.2859149416238926
coupled,24000,group_decoupling_g,30,0.003847275785573645,-0.1624352268693603,0.3085507031694611
coupled,24000,group_downward_g,30,1.8113089121728358,1.5954718275052193,2.0888212736302165
coupled,24000,group_part_driven_g,30,0.06565887962150443,0.06035747531600777,0.07555790438221116
coupled,24000,phi_r_z,30,0.057508264498481176,0.0373123026938919,0.07185601659634844
coupled,30000,phi_r_g,30,2.1168699395259254,2.004761956774759,2.3414410966969985
coupled,30000,group_decoupling_g,30,0.1982739417165157,0.012013960106353805,0.46289509201139367
coupled,30000,group_downward_g,30,1.9509185427432416,1.6647703275421666,2.150873640126134
coupled,30000,group_part_driven_g,30,0.07296365815936878,0.061945295483483376,0.08232907127137118
coupled,30000,phi_r_z,30,0.05231069149985508,0.040972557580308905,0.06493000549957237
coupled,36000,phi_r_g,30,2.076466116578545,1.9604671907233775,2.1778166949872135
coupled,36000,group_decoupling_g,30,-0.017178836428528688,-0.2697470542096776,0.2515475794378219
coupled,36000,group_downward_g,30,1.99898858216574,1.8302270774243496,2.31415544150987
coupled,36000,group_part_driven_g,30,0.07177653303707351,0.06420118611305214,0.08260031520912081
coupled,36000,phi_r_z,30,0.04541663316717728,0.03757186030015172,0.06648208017068793
coupled,42000,phi_r_g,30,2.1509113545233483,1.9606504823839863,2.227688094404297
coupled,42000,group_decoupling_g,30,0.013260564308564593,-0.4292744882367332,0.21804143616991645
coupled,42000,group_downward_g,30,2.25138406392338,1.9396085647052936,2.5076066209444345
coupled,42000,group_part_driven_g,30,0.06721373104359735,0.05742689402831769,0.07651799441727336
coupled,42000,phi_r_z,30,0.0748792326016562,0.044041748760115,0.08948198976330998
coupled,48000,phi_r_g,30,2.0809767079485266,1.9830792537040802,2.1839384470654863
coupled,48000,group_decoupling_g,30,-0.4784844235407205,-0.7823456756517698,-0.036359567567336715
coupled,48000,group_downward_g,30,2.38826320623619,2.112630800955788,2.5867011581878128
coupled,48000,group_part_driven_g,30,0.06745774541302951,0.06521518682527666,0.07660974415261446
coupled,48000,phi_r_z,30,0.046466499785526943,0.03739477986347436,0.08045895676562662
