condition,checkpoint,seed,episode,episode_seed,n_steps,external_sha256,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,g_partition_n1,g_partition_n2,g_partition_signature,atom_base_part0_to_whole_g,atom_parts_to_whole_g,atom_part1_to_whole_g,atom_whole_to_part0_g,atom_whole_to_parts_g,atom_whole_to_part1_g,atom_whole_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,phi_r_z,z_partition_n1,z_partition_n2,z_partition_signature
coupled,12000,1,0,850624,800,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,2.719747867003105,0.9424957276370174,1.7019799964637783,0.11206451205577361,2.756540236156569,-0.0367923691534644,3,9,"A[4,9,11]|B[0,1,2,3,5,6,7,8,10]",0.3751678548664701,1.2266611374016607,0.22266227944242778,0.20883779485160625,0.06323947970333954,1.4299027219088325,0.9424957276370174,-1.4950136589750338,-0.21741310067975117,0.004573535215296215,11,5,"A[1,2,4,5,6,8,9,10,12,14,15]|B[0,3,7,11,13]"
coupled,12000,1,1,636961,800,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,2.093541000076729,-0.1611654599297685,2.2034118412068833,0.05961474023427349,2.101861121511388,-0.0083201214346591,3,9,"A[4,9,11]|B[0,1,2,3,5,6,7,8,10]",1.0599695293293416,0.8726851661514918,0.6765649095967681,0.6723863929246943,0.0053538518503093435,1.5256715964318797,-0.1611654599297685,-1.8738569953979944,-0.6757478694453338,0.04343380332406393,10,6,"A[3,4,5,7,8,10,11,13,14,15]|B[0,1,2,6,9,12]"
coupled,12000,1,2,511136,800,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,1.8180105256340762,0.006761718260449356,1.7478401763818812,0.05596901436466495,1.8105709090069957,0.007439616627080481,3,9,"A[4,9,11]|B[0,1,2,3,5,6,7,8,10]",0.34868641748763296,1.1567622026034297,0.33888829734558534,0.29067632102107677,0.05032216296287362,1.4068416923979308,0.006761718260449356,-1.4512266100044755,-0.3371412930675075,0.08657483312849801,2,14,"A[3,9]|B[0,1,2,4,5,6,7,8,10,11,12,13,14,15]"
coupled,12000,1,3,269786,800,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,2.0811094692516257,0.3368119329515866,1.7108160721373367,0.08335886041954998,2.1309868655084734,-0.04987739625684773,2,10,"A[9,11]|B[0,1,2,3,4,5,6,7,8,10]",0.502756021579227,1.1628510105354226,0.28298434528540595,0.27250168730335367,0.028003119942895616,1.4103112648910874,0.3368119329515866,-1.585231759450092,-0.28000075753041365,0.02199269584208932,10,6,"A[1,2,5,6,7,8,10,11,13,15]|B[0,3,4,9,12,14]"
coupled,12000,1,4,307829,800,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,1.5513338077157717,-0.24919142099794866,1.7547892881575728,0.10359088178685394,1.6091887489464782,-0.05785494123070656,4,8,"A[2,4,9,11]|B[0,1,3,5,6,7,8,10]",0.974449668750279,0.885392052625291,0.43509163791343086,0.42381690368534275,0.023711146327480392,1.3072612381447497,-0.24919142099794866,-1.756250839588716,-0.43509163791343075,0.3249575850816604,2,14,"A[2,9]|B[0,1,3,4,5,6,7,8,10,11,12,13,14,15]"
coupled,12000,1,5,40973,800,e026480bfdede18b0cad8aa9a8396507da1a7d4e1d8f8b035f580d6cf1dfb08c,2.1076902585637214,0.28852982182977627,1.7606431115039984,0.11654840775428288,2.165721341088058,-0.05803108252433642,2,10,"A[9,11]|B[0,1,2,3,4,5,6,7,8,10]",0.6639424389112816,1.0386629732753276,0.3708685321628813,0.3676626736641051,0.02182029757479964,1.3711601402650937,0.28852982182977627,-1.5869547816208187,-0.3699707549743889,0.05009713675252005,6,10,"A[2,4,8,10,12,13]|B[0,1,3,5,6,7,9,11,14,15]"
coupled,12000,1,6,75240,800,aa52b477675f028f7f05585d6e76d7c1e052216fc5ff0c12d5b19191dbb9f848,2.2531482738308672,0.4077009603080022,1.7986598752860825,0.12870675836112055,2.3350675939552055,-0.08191932012433822,3,9,"A[4,9,11]|B[0,1,2,3,5,6,7,8,10]",0.7866981906676369,0.8944656053396774,0.43862438942309145,0.4255819774151859,0.05569001462238932,1.3173878832485073,0.4077009603080022,-1.5571381910804203,-0.4339432359888651,0.046137761774695474,4,12,"A[1,5,9,12]|B[0,2,3,4,6,7,8,10,11,13,14,15]"
coupled,12000,1,7,16527,800,0193a206e04983fbfc2b0b7090a2206526ec6d42519b69d1a4291436c936eec5,3.3086457367010453,1.865742499180886,1.4114304658384091,0.035127565787132164,3.3123005308064277,-0.0036547941053823862,2,10,"A[4,9]|B[0,1,2,3,5,6,7,8,10,11]",0.033809227047403745,1.4387024151702685,0.0,-2.220446049250313e-16,0.03278781108625406,1.3786426547521553,1.865742499180886,-1.4373840764305401,0.0,0.017013218890301524,3,13,"A[8,14,15]|B[0,1,2,3,4,5,6,7,9,10,11,12,13]"
coupled,12000,1,8,175267,800,61d4cf29a73d0fbebcfd1d461184e2ae14c4900d005b36c4d18f6b61215564be,2.384494853475112,-0.9615958683565644,3.233158700862,0.04613550478648487,2.31769833729192,0.06679651618319182,8,4,"A[1,2,3,5,6,7,8,10]|B[0,4,9,11]",1.554072073787697,0.27564740772911067,1.5010831433992835,1.6620623199758675,0.10956364292991694,1.4615327379562153,-0.9615958683565644,-1.5679694814774463,-1.71669763865216,0.1871332544159071,15,1,"A[1,2,3,4,5,6,7,8,9,10,11,12,13,14,15]|B[0]"
coupled,12000,1,9,813270,800,794bd6f53d04e380a07ad3b23a7b78a7204d02f669ee999f3c58aefed46e047b,1.8608917643807157,-0.0042066784336696195,1.8581435260021073,0.07154172498620381,1.9254785725546415,-0.06458680817392581,3,9,"A[4,9,11]|B[0,1,2,3,5,6,7,8,10]",1.20457683210532,0.614062224818094,0.6174151424771677,0.6159494603556123,0.005250229722832955,1.2369438359236622,-0.0042066784336696195,-1.7501497477606938,-0.6143627266536842,0.04649479279443913,13,3,"A[1,2,3,4,6,7,8,9,10,11,12,13,14]|B[0,5,15]"
coupled,12000,2,0,850624,800,2bdde52c6bb6e994a3f0d7c441ff03c743b87486b9efafb8c87e3d9aefd1bf30,1.9806443583188793,0.009073695212386212,1.908039355456842,0.07782335788237515,1.9949364085516033,-0.014292050232723952,2,10,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]",0.505149875638808,0.6629813489329444,0.7854211414763617,0.5185484749451832,0.33074254478355614,1.0587483357281027,0.009073695212386212,-1.0898608023209033,-0.7858682058448355,0.16826105522445586,2,14,"A[7,14]|B[0,1,2,3,4,5,6,8,9,10,11,12,13,15]"
coupled,12000,2,1,636961,800,010aa30e51836eeb1d0b2f3c13fdad4d158ec9cd81af62b9fe181df4c7aef7c4,1.8761416333628915,-0.15755379998086383,2.0206947586793307,0.1651126440405153,2.028253602738982,-0.15211196937609062,2,10,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]",0.5462178109174614,0.7443585645011028,0.799242451894064,0.4087283211864259,0.5200432991418,1.0919231383511048,-0.15755379998086383,-1.1222948655185099,-0.8024113177536032,0.05797197094326978,1,15,"A[2]|B[0,1,3,4,5,6,7,8,9,10,11,12,13,14,15]"
coupled,12000,2,2,511136,800,a4040649f24d949a9daac8111c269e4d1a5257c969fae12fa7c69d0df9dbb2a3,2.563568364605959,-0.5017893591562723,2.834707040572635,0.16880349588748556,2.501721177303847,0.061847187302111806,9,3,"A[1,2,4,5,6,7,8,9,11]|B[0,3,10]",1.1734032733983588,1.1107595969323973,0.8214814899528651,1.6970947624368131,0.30787262806450455,0.829739650071317,-0.5017893591562723,-1.1754170004001105,-1.7614238639960254,0.21427609938351622,1,15,"A[12]|B[0,1,2,3,4,5,6,7,8,9,10,11,13,14,15]"
coupled,12000,2,3,269786,800,f554c10b3a6ea3aad3da67bdd8822e211e5b121bc19cccf58079def91c367dd6,3.6082639123780273,1.7815572327641327,1.5984546572328848,0.18557674771703292,3.5655886377140504,0.042675274663976914,2,10,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]",-0.3347783110427853,1.6361420034660117,0.3904628936093655,-0.1101499250453033,0.5884546226973791,1.1201499595808089,1.7815572327641327,-1.119006186055251,-0.387243652260308,0.0048025245331380605,7,9,"A[1,4,6,7,10,11,15]|B[0,2,3,5,8,9,12,13,14]"
coupled,12000,2,4,307829,800,efeb704908aab4b37f9eb437d7027df36470cc446a4008dae4aeb97dab9705a9,2.153277629813605,0.49943878102578054,1.5046031637008979,0.0961302557530247,2.100172200479703,0.05310542933390172,2,10,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]",0.07421774748638632,0.9743348161322141,0.5663237555916232,0.09148760120937416,0.46180665907966945,0.9513089034118543,0.49943878102578054,-0.958850767248492,-0.5598952962087068,0.009325874752396213,5,11,"A[7,8,13,14,15]|B[0,1,2,3,4,5,6,9,10,11,12]"
