condition,checkpoint,seed,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g,phi_r_atom_median_sum_g,phi_r_minus_atom_median_sum_g,atom_base_part0_to_whole_g,atom_part0_to_part1_g,atom_part1_to_part0_g,atom_part1_to_whole_g,atom_parts_to_whole_g,atom_whole_to_part0_g,atom_whole_to_part1_g,atom_whole_to_parts_g,atom_whole_to_whole_g,phi_r_z
coupled,12000,1,2.100615629320225,0.1476457700451128,1.7577161998307855,0.0774502927028769,2.1483541032982654,-0.043334882705156064,0.7253203147894592,-1.5766006204637693,-0.401956995481627,0.4029800850381561,0.9665642893075026,0.3957397886747239,1.392742173575043,0.030395465514574838,0.1476457700451128,0.0463162772845673
coupled,12000,2,2.4840265125817886,0.2542562381190834,1.9643670570680865,0.1047649111867553,2.4068585895374532,0.028296705060762872,0.3101171724320275,-1.1206505257868804,-0.7696645960766252,0.7695556057680762,1.0548576316872498,0.335459396356965,1.0405247298994043,0.38960003790064157,0.2542562381190834,0.05269397809292895
coupled,12000,3,1.7855092832806958,1.061219772922628,0.715768183725871,0.036862334047276346,1.8055329096047998,-0.006352258371802644,-0.07535679270367357,-0.6940160752118734,0.0,0.0,0.8574092633355859,-0.0586446528840161,0.6777240409425264,0.13361645199463568,1.061219772922628,0.08594956178325519
coupled,12000,4,1.5403395818888128,0.9639860828169636,0.7239184306055895,0.05588874108975739,1.5212339819807204,0.007776761175889324,0.0,-0.12084332170086709,-0.397211733522147,0.030978047914991147,0.5787874450943977,0.3968081243312782,0.05879772923327775,0.10872627044424421,0.9639860828169636,0.055673649053801205
coupled,12000,5,3.033334194963617,1.773542371366084,1.2113664799794903,0.06046823029796611,3.024942531200405,-0.00010871882836305247,-0.5487814191557716,-1.1896298116863515,0.0,0.0,1.8029172769879724,-0.4750279326299411,1.180263731571906,0.49561609230321624,1.773542371366084,0.04730871443705263
coupled,12000,6,1.8708397152927383,-0.27379664549683214,1.7206521219136734,0.07690000895868754,1.9123576020617035,-0.03273814931636354,1.0681835195091032,-1.1027624820377084,-1.4201518862038482,0.4964760226116859,0.819097003205833,1.2765542474484723,0.7227093752737019,0.07050820940357849,-0.27379664549683214,0.05421450589583685
coupled,12000,7,2.1884671293967544,0.35628231785134123,1.5320647947104749,0.11400525766479058,2.1704315966211736,0.018179183219449224,0.7772685987704405,-1.6705023209271228,-0.22939889262684854,0.23895669966806032,1.0656722637815932,0.2274334841500003,1.2493855417237563,0.0539849749447196,0.35628231785134123,0.047009670486191445
coupled,12000,8,3.9503552752274995,2.2846254081260744,1.6510602582836595,0.036673091319238904,3.9873169946422498,-0.03207001736209181,-0.4544916079956516,-1.65161493612208,0.0,0.0,2.112254111158982,-0.3196970775414839,1.6422177066266708,0.32986381474498805,2.2846254081260744,0.0203415346810956
coupled,12000,9,3.9114846692244543,1.6608235913277856,2.2685403976532954,0.08319083257497267,3.933229461586306,0.012392588746335642,-0.31344496513317044,-1.7641752295608404,-0.5848193862947193,0.5858011865930406,2.186970490765587,-0.22110761131763224,1.7622442234768614,0.5615872806758582,1.6608235913277856,0.04357015414966282
coupled,12000,10,2.3591838498347397,1.184282971554599,0.9849044934253746,0.0802785349758176,2.3209972078878716,-0.007026590974355207,-0.09444589410586479,-0.8834082291029859,-0.07952059648952925,0.08657438695556496,0.975950970133571,-0.020126832338593803,0.8712996268237407,0.1558519588497228,1.184282971554599,0.026126495930989868
coupled,12000,11,2.6749632006811046,-0.48413103810006275,2.9424421123842093,0.0813242654591223,2.643077756349913,3.8703440692122726e-05,1.2941139337218008,-1.5488343444797454,-1.3519985793476827,1.34680769250045,0.43142928951722836,1.2504879082370268,1.4885716441644303,0.24572696233839675,-0.48413103810006275,0.054134288514983586
coupled,12000,12,2.0285485444603175,0.11100229270016593,1.916479001739049,0.09879227336218621,1.990970488339742,0.0028605186333647836,0.1312184787997116,-0.11834676456028587,-1.9839526025840515,0.3822865587438302,1.5794008661311811,1.6150093932453602,0.1023093818056442,0.05321381643749312,0.11100229270016593,0.0379833878871222
coupled,12000,13,2.535175101968556,-0.09061568833454947,2.798299907742946,0.07405173967502204,2.5817837195871203,-0.05767244872196031,0.9201913631174714,-1.6488456579793127,-1.3880825012576947,0.9393737249971631,0.8857061125953142,1.3641003192237742,1.6204056988809497,0.29668179656916693,-0.09061568833454947,0.05365535457981225
coupled,12000,14,2.667829687374121,1.1251918362862992,1.433789708550886,0.08586522308579808,2.5649150011497106,0.02407220787548714,0.14696546041433733,-1.0982421128181716,-0.2478146721568163,0.2478146721568163,0.9983803790098595,0.21073708973123706,1.0512861001600027,0.1478830289222477,1.1251918362862992,0.025903083255100323
coupled,12000,15,2.3668441228000754,0.6786527302129766,1.5204011340054882,0.06909820628048025,2.3148470679625275,0.05036963381696369,0.20927709216192303,-1.0368961043083194,-0.4518712667367546,0.08192710268263914,0.718464063634989,0.43009018469311733,0.8196460426970796,0.1908981138956316,0.6786527302129766,0.026215135413263813
coupled,12000,16,1.4683785542897354,-0.4844970115207201,1.7709133217008262,0.12224048006786925,1.5372501964743615,-0.07838680052004598,0.869271302192756,-1.721606696178335,-0.5126663716222198,0.5055413513629545,0.8819899734705696,0.4998143007931015,1.2278414032359792,0.06032767145038531,-0.4844970115207201,0.03507166647459263
