seed,metric,default,coupled,effect_coupled_minus_default
1,whole_to_single_sum,1.1213581372047505,2.598877681468724,1.4775195442639735
2,whole_to_single_sum,0.9370188608625801,2.398713681930579,1.461694821067999
3,whole_to_single_sum,1.7729322353087744,0.6881197826792051,-1.0848124526295693
4,whole_to_single_sum,2.111172379926529,2.563653864756897,0.452481484830368
5,whole_to_single_sum,1.3380883174161458,1.706625274218498,0.3685369568023522
6,whole_to_single_sum,2.702952174043844,2.1955096218194203,-0.5074425522244237
7,whole_to_single_sum,1.4149473537896893,2.636325588426912,1.2213782346372226
8,whole_to_single_sum,1.7523945383095705,1.3128416054902625,-0.43955293281930796
9,whole_to_single_sum,1.4094611266746477,2.0968025494056217,0.687341422730974
10,whole_to_single_sum,1.8937628181400274,2.1047161077171057,0.21095328957707826
11,whole_to_single_sum,1.5712367745370996,2.132417978839966,0.5611812043028666
12,whole_to_single_sum,2.011664399862103,2.478161700049089,0.4664973001869859
13,whole_to_single_sum,1.3086467629798997,2.591673190367902,1.2830264273880023
14,whole_to_single_sum,1.5435592214587794,1.66584557642322,0.12228635496444062
15,whole_to_single_sum,1.680130240351716,2.225063235441061,0.5449329950893449
16,whole_to_single_sum,1.4852385270820592,2.47376254170165,0.9885240146195908
17,whole_to_single_sum,0.8794455246535938,1.3633761382843268,0.483930613630733
18,whole_to_single_sum,2.019185485068008,2.455193704785095,0.4360082197170869
19,whole_to_single_sum,1.9883914860031822,1.7767678122004378,-0.21162367380274438
20,whole_to_single_sum,2.118782578049143,1.880164838400013,-0.23861773964913024
21,whole_to_single_sum,1.161675133018658,2.26143261866072,1.099757485642062
22,whole_to_single_sum,1.4710569587182247,1.4641609426733073,-0.006896016044917408
23,whole_to_single_sum,2.1459074852946127,3.0128931426524956,0.8669856573578829
24,whole_to_single_sum,1.707550561578253,2.2276793239791624,0.5201287624009094
25,whole_to_single_sum,1.97459604859863,1.297460763203198,-0.677135285395432
26,whole_to_single_sum,2.3137480188954864,2.810569743577755,0.4968217246822686
27,whole_to_single_sum,0.6073558060197798,1.541175957601796,0.9338201515820163
28,whole_to_single_sum,1.1991303484493183,2.6611900280734453,1.462059679624127
29,whole_to_single_sum,1.274434072153239,1.4485069819493508,0.17407290979611179
30,whole_to_single_sum,2.0436545832187036,2.3227190578179995,0.27906447459929584
1,whole_to_parts,0.08637115450082969,0.1752717735090607,0.08890061900823101
2,whole_to_parts,0.058279864623744654,0.15796035013239623,0.09968048550865158
3,whole_to_parts,0.04673014671371675,0.12453970770066884,0.07780956098695209
4,whole_to_parts,0.1356106909865061,0.2611734384183786,0.12556274743187248
