seed,episode,signature_default,signature_coupled,partition_mismatch_fraction,partition_agreement,exact_partition_match
1,0,"A[2,7]|B[0,1,3,4,5,6,8,9,10,11]","A[1,3,4,5,6,7,8,10]|B[0,2,9,11]",0.3333333333333333,0.6666666666666667,False
1,1,"A[1,2,4,6,7,9,11]|B[0,3,5,8,10]","A[3,5,6,7,8,10]|B[0,1,2,4,9,11]",0.25,0.75,False
1,2,"A[2,7]|B[0,1,3,4,5,6,8,9,10,11]","A[4,7,9,10,11]|B[0,1,2,3,5,6,8]",0.4166666666666667,0.5833333333333333,False
1,3,"A[1,4,6]|B[0,2,3,5,7,8,9,10,11]","A[3,4,5,6,7,8,10]|B[0,1,2,9,11]",0.5,0.5,False
1,4,"A[1,2,4,6,7]|B[0,3,5,8,9,10,11]","A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",0.3333333333333333,0.6666666666666667,False
1,5,"A[1,2,4,6,7]|B[0,3,5,8,9,10,11]","A[3,4,5,6,7,8,10]|B[0,1,2,9,11]",0.5,0.5,False
1,6,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]","A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",0.5,0.5,False
1,7,"A[2]|B[0,1,3,4,5,6,7,8,9,10,11]","A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",0.3333333333333333,0.6666666666666667,False
1,8,"A[2,7,9]|B[0,1,3,4,5,6,8,10,11]","A[3,4,5,7,8,10]|B[0,1,2,6,9,11]",0.4166666666666667,0.5833333333333333,False
1,9,"A[1,3,4,6,8]|B[0,2,5,7,9,10,11]","A[1,3,4,5,6,7,8,10]|B[0,2,9,11]",0.25,0.75,False
2,0,"A[1,2,4,6,7,8,9]|B[0,3,5,10,11]","A[1,2,4,6,7,8,9]|B[0,3,5,10,11]",0.0,1.0,True
2,1,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]","A[1,3,5,10,11]|B[0,2,4,6,7,8,9]",0.25,0.75,False
2,2,"A[1,2,4,5,7,8,9]|B[0,3,6,10,11]","A[1,3,5,10,11]|B[0,2,4,6,7,8,9]",0.3333333333333333,0.6666666666666667,False
2,3,"A[1,2,4,6,7,8,9]|B[0,3,5,10,11]","A[1,2,4,6,7,8,9,11]|B[0,3,5,10]",0.08333333333333333,0.9166666666666666,False
2,4,"A[3,10]|B[0,1,2,4,5,6,7,8,9,11]","A[1,3,5,6,10,11]|B[0,2,4,7,8,9]",0.3333333333333333,0.6666666666666667,False
2,5,"A[1,2,4,7,8,9]|B[0,3,5,6,10,11]","A[3,5,10,11]|B[0,1,2,4,6,7,8,9]",0.16666666666666666,0.8333333333333334,False
2,6,"A[3]|B[0,1,2,4,5,6,7,8,9,10,11]","A[3,5,6,10,11]|B[0,1,2,4,7,8,9]",0.3333333333333333,0.6666666666666667,False
2,7,"A[10]|B[0,1,2,3,4,5,6,7,8,9,11]","A[1,2,4,6,7,8,9]|B[0,3,5,10,11]",0.3333333333333333,0.6666666666666667,False
2,8,"A[6]|B[0,1,2,3,4,5,7,8,9,10,11]","A[1,3,5,10,11]|B[0,2,4,6,7,8,9]",0.5,0.5,False
2,9,"A[1,2,3,4,6,7,8,9]|B[0,5,10,11]","A[2,3,4,5,6,7,9,10,11]|B[0,1,8]",0.4166666666666667,0.5833333333333333,False
3,0,"A[2,3,4,6,7,10,11]|B[0,1,5,8,9]","A[2,3,5,10]|B[0,1,4,6,7,8,9,11]",0.4166666666666667,0.5833333333333333,False
3,1,"A[2,3,5,6,10]|B[0,1,4,7,8,9,11]","A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",0.3333333333333333,0.6666666666666667,False
3,2,"A[2,3,6,10]|B[0,1,4,5,7,8,9,11]","A[2,4,5,10]|B[0,1,3,6,7,8,9,11]",0.3333333333333333,0.6666666666666667,False
3,3,"A[5]|B[0,1,2,3,4,6,7,8,9,10,11]","A[5]|B[0,1,2,3,4,6,7,8,9,10,11]",0.0,1.0,True
3,4,"A[1,5]|B[0,2,3,4,6,7,8,9,10,11]","A[2,3,5]|B[0,1,4,6,7,8,9,10,11]",0.25,0.75,False
3,5,"A[2,10]|B[0,1,3,4,5,6,7,8,9,11]","A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",0.25,0.75,False
3,6,"A[1,2,3,5,6,10]|B[0,4,7,8,9,11]","A[3,5]|B[0,1,2,4,6,7,8,9,10,11]",0.3333333333333333,0.6666666666666667,False
3,7,"A[1,5]|B[0,2,3,4,6,7,8,9,10,11]","A[3,5]|B[0,1,2,4,6,7,8,9,10,11]",0.16666666666666666,0.8333333333333334,False
3,8,"A[1,5]|B[0,2,3,4,6,7,8,9,10,11]","A[1,6,7,8,9,11]|B[0,2,3,4,5,10]",0.5,0.5,False
3,9,"A[2,6,10]|B[0,1,3,4,5,7,8,9,11]","A[3,7,8]|B[0,1,2,4,5,6,9,10,11]",0.5,0.5,False
4,0,"A[1,2,5,6,7,8,10,11]|B[0,3,4,9]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
4,1,"A[3,4,9,10]|B[0,1,2,5,6,7,8,11]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.25,0.75,False
4,2,"A[1,2,3,5,6,7,8,11]|B[0,4,9,10]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
4,3,"A[1,2,5,7,8,11]|B[0,3,4,6,9,10]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
4,4,"A[1,2,5,6,7,11]|B[0,3,4,8,9,10]","A[1,2,3,7,9,10]|B[0,4,5,6,8,11]",0.5,0.5,False
4,5,"A[1,2,5,6,7,8,11]|B[0,3,4,9,10]","A[1,3,7,9]|B[0,2,4,5,6,8,10,11]",0.4166666666666667,0.5833333333333333,False
4,6,"A[1,2,5,6,7,8,10,11]|B[0,3,4,9]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
4,7,"A[1,2,5,6,7,8,10,11]|B[0,3,4,9]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
4,8,"A[1,2,5,6,7,8,11]|B[0,3,4,9,10]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.3333333333333333,0.6666666666666667,False
4,9,"A[1,2,5,6,7,8,10,11]|B[0,3,4,9]","A[1,3,7,9,10]|B[0,2,4,5,6,8,11]",0.4166666666666667,0.5833333333333333,False
5,0,"A[7,9]|B[0,1,2,3,4,5,6,8,10,11]","A[2,5,10,11]|B[0,1,3,4,6,7,8,9]",0.5,0.5,False
5,1,"A[1,2,3,7,8,9,10,11]|B[0,4,5,6]","A[11]|B[0,1,2,3,4,5,6,7,8,9,10]",0.4166666666666667,0.5833333333333333,False
5,2,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]","A[1,2,4,5,6,8,10,11]|B[0,3,7,9]",0.25,0.75,False
5,3,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]","A[1,3,4,8]|B[0,2,5,6,7,9,10,11]",0.4166666666666667,0.5833333333333333,False
5,4,"A[1,2,3,5,6,8,9,10,11]|B[0,4,7]","A[9]|B[0,1,2,3,4,5,6,7,8,10,11]",0.3333333333333333,0.6666666666666667,False
5,5,"A[1,7,8,9]|B[0,2,3,4,5,6,10,11]","A[3]|B[0,1,2,4,5,6,7,8,9,10,11]",0.4166666666666667,0.5833333333333333,False
5,6,"A[1,2,3,8,9,10,11]|B[0,4,5,6,7]","A[1,2,4,5,6,8,10,11]|B[0,3,7,9]",0.4166666666666667,0.5833333333333333,False
5,7,"A[1,5,6,7,8,9,10]|B[0,2,3,4,11]","A[1,4]|B[0,2,3,5,6,7,8,9,10,11]",0.4166666666666667,0.5833333333333333,False
5,8,"A[7]|B[0,1,2,3,4,5,6,8,9,10,11]","A[2,5,6,8,9,10,11]|B[0,1,3,4,7]",0.3333333333333333,0.6666666666666667,False
5,9,"A[1,2,3,8,9,10,11]|B[0,4,5,6,7]","A[7,9]|B[0,1,2,3,4,5,6,8,10,11]",0.4166666666666667,0.5833333333333333,False
6,0,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[1,3,5,6,7,8,9,10,11]|B[0,2,4]",0.5,0.5,False
6,1,"A[6,7,10,11]|B[0,1,2,3,4,5,8,9]","A[4,6,7,11]|B[0,1,2,3,5,8,9,10]",0.16666666666666666,0.8333333333333334,False
6,2,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[4,6,7,11]|B[0,1,2,3,5,8,9,10]",0.08333333333333333,0.9166666666666666,False
6,3,"A[1,4,6,7,10,11]|B[0,2,3,5,8,9]","A[4,6,7,11]|B[0,1,2,3,5,8,9,10]",0.16666666666666666,0.8333333333333334,False
6,4,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[8]|B[0,1,2,3,4,5,6,7,9,10,11]",0.3333333333333333,0.6666666666666667,False
6,5,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[1,3,4,5,6,7,9,10,11]|B[0,2,8]",0.5,0.5,False
6,6,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[4,6,11]|B[0,1,2,3,5,7,8,9,10]",0.16666666666666666,0.8333333333333334,False
6,7,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[1,2,3,4,5,6,7,9,10,11]|B[0,8]",0.4166666666666667,0.5833333333333333,False
6,8,"A[6,7,11]|B[0,1,2,3,4,5,8,9,10]","A[4,6,7,9,11]|B[0,1,2,3,5,8,10]",0.16666666666666666,0.8333333333333334,False
6,9,"A[6,7,10,11]|B[0,1,2,3,4,5,8,9]","A[4,6,7,9,11]|B[0,1,2,3,5,8,10]",0.25,0.75,False
7,0,"A[1,6]|B[0,2,3,4,5,7,8,9,10,11]","A[1,4,7,11]|B[0,2,3,5,6,8,9,10]",0.3333333333333333,0.6666666666666667,False
7,1,"A[1,10,11]|B[0,2,3,4,5,6,7,8,9]","A[1,4,5,7,11]|B[0,2,3,6,8,9,10]",0.3333333333333333,0.6666666666666667,False
7,2,"A[3,5,6,9]|B[0,1,2,4,7,8,10,11]","A[1,4,5,7,11]|B[0,2,3,6,8,9,10]",0.4166666666666667,0.5833333333333333,False
