seed,exact_match_fraction,median_partition_agreement,mean_partition_agreement
1,0.0,0.625,0.6166666666666667
2,0.1,0.6666666666666667,0.725
3,0.1,0.6666666666666667,0.6916666666666667
4,0.0,0.5833333333333333,0.6
5,0.0,0.5833333333333333,0.6083333333333333
6,0.0,0.7916666666666667,0.725
7,0.0,0.6666666666666667,0.6583333333333333
8,0.0,0.7083333333333334,0.7
9,0.1,0.8333333333333334,0.8083333333333333
10,0.0,0.5833333333333333,0.6
11,0.0,0.6666666666666667,0.675
12,0.0,0.8333333333333334,0.8166666666666667
13,0.0,0.6666666666666667,0.675
14,0.0,0.625,0.65
15,0.0,0.625,0.625
16,0.0,0.625,0.625
17,0.0,0.625,0.6333333333333333
18,0.0,0.6666666666666667,0.6583333333333334
19,0.0,0.5833333333333333,0.6166666666666667
20,0.0,0.5833333333333333,0.6166666666666666
21,0.0,0.6666666666666667,0.6666666666666667
22,0.0,0.625,0.6416666666666667
23,0.0,0.5833333333333333,0.5833333333333333
24,0.0,0.5833333333333333,0.6083333333333333
25,0.0,0.5833333333333333,0.5916666666666666
26,0.0,0.625,0.6666666666666666
27,0.0,0.5833333333333333,0.6416666666666666
28,0.0,0.5833333333333333,0.5916666666666666
29,0.0,0.5833333333333333,0.6166666666666666
30,0.0,0.625,0.6333333333333333
