seed,episode,condition,shared_partition_signature,shared_partition_n1,shared_partition_n2,phi_r_g,group_decoupling_g,group_downward_g,group_part_driven_g
1,0,coupled,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,1.607996278359195,-0.9451160859232122,2.4908013544768988,0.10127751658526774
1,0,default,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,2.0003392470760017,0.535503080866925,1.3835350592180362,0.04493527536507225
1,1,coupled,"A[3,5,7,8,10]|B[0,1,2,4,6,9,11]",5,7,2.0590928684286474,-1.192174731904962,3.380751218914371,0.11800805721596075
1,1,default,"A[3,5,7,8,10]|B[0,1,2,4,6,9,11]",5,7,1.8537599811188636,0.7131661241148608,1.0071463715766336,0.09072449253953585
1,2,coupled,"A[2,9]|B[0,1,3,4,5,6,7,8,10,11]",2,10,2.142851152313896,0.4948954252001192,1.7602859791359813,0.16892176443833218
1,2,default,"A[2,9]|B[0,1,3,4,5,6,7,8,10,11]",2,10,2.590655338640043,1.6115233436028777,0.9816484736824447,-0.044361694979045074
1,3,coupled,"A[1,3,4,6,8]|B[0,2,5,7,9,10,11]",5,7,2.608675133344905,-1.241297170133997,3.6017503956688217,0.277426560234429
1,3,default,"A[1,3,4,6,8]|B[0,2,5,7,9,10,11]",5,7,1.846212132039651,0.8930790695066184,0.8973934246988691,0.05876530091115506
1,4,coupled,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,1.9107820058107856,-0.9780359753190186,2.7959344102502746,0.09091505035661296
1,4,default,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,2.319206192180904,-0.14599984652967546,2.4128205767759683,0.018944638233222788
1,5,coupled,"A[1,2,4,6]|B[0,3,5,7,8,9,10,11]",4,8,2.168065319284901,-0.7909787054209216,2.912304294928042,0.026059118173020313
1,5,default,"A[1,2,4,6]|B[0,3,5,7,8,9,10,11]",4,8,2.656246175335942,0.04174432255891514,2.4763265706434883,0.0824969524597563
1,6,coupled,"A[2,9,11]|B[0,1,3,4,5,6,7,8,10]",3,9,1.9300881801075493,-0.0010305499785490113,1.8644968713957448,0.07420843061833704
1,6,default,"A[2,9,11]|B[0,1,3,4,5,6,7,8,10]",3,9,2.0662167795424864,1.247577407551136,0.8073739867523742,0.052392698116403125
1,7,coupled,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,1.9085913644174965,-1.025990321177665,3.0070440666970946,0.12791641373553508
1,7,default,"A[1,3,4,6,7,8,10]|B[0,2,5,9,11]",7,5,2.434983169413666,0.28323184771249466,2.1139924393114162,0.01639154105452345
1,8,coupled,"A[1,3,4,5,6,7,8,10]|B[0,2,9,11]",8,4,2.0366135305467092,-0.5274785155565151,2.4279787646953244,0.03329625822990545
1,8,default,"A[1,3,4,5,6,7,8,10]|B[0,2,9,11]",8,4,2.444144663416146,0.7401545499246609,1.586235790760165,0.050856134556021004
1,9,coupled,"A[1,3,4,5,6,7,8,10]|B[0,2,9,11]",8,4,1.867976741192751,-0.6163823482896902,2.396795171578008,0.08503882339325353
