episode,phase,T,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,seed,condition
0,full,240,0.007831471414913721,2.4228445871593705,3.116584172297174,0.6937395851378034,1,clean
1,full,240,0.011409146762833583,1.2045527875502535,1.0009322501164157,-0.2036205374338378,1,clean
2,full,240,0.02041167635134844,1.8632304830572903,1.8380814960549694,-0.025148987002320933,1,clean
3,full,240,0.08300758580858747,3.3540694799056094,3.0819019938430605,-0.2721674860625489,1,clean
4,full,240,0.042989250924636124,3.189593308156507,2.9191602773683485,-0.2704330307881584,1,clean
5,full,240,0.056835476449106026,3.381322990076019,2.809468054812826,-0.5718549352631928,1,clean
6,full,240,0.048467906965812976,2.8076584555880917,2.0234155189600807,-0.784242936628011,1,clean
7,full,240,0.009525401650227389,2.866450121341078,2.404587962837999,-0.4618621585030791,1,clean
8,full,240,0.013957458608759216,3.5097368738431634,2.996327758713748,-0.5134091151294156,1,clean
9,full,240,0.08383680814404793,1.7886946418278789,1.8213046934104207,0.03261005158254182,1,clean
0,full,240,0.17458115172320954,2.292944577213144,2.363370080205133,0.07042550299198913,2,clean
1,full,240,0.11353218431006384,2.722470760683184,2.1208057836806717,-0.6016649770025122,2,clean
2,full,240,0.031747347100758105,2.874872141225361,2.0387190102852752,-0.8361531309400858,2,clean
3,full,240,0.026481686593064126,1.1993255580926785,1.2131375898638925,0.01381203177121404,2,clean
4,full,240,0.2697739139076978,2.355672815940568,2.596589321721243,0.24091650578067458,2,clean
5,full,240,0.03242679851958519,2.767246073804374,2.0394346204898675,-0.7278114533145064,2,clean
6,full,240,0.1583552217079115,2.4613651795448854,2.188919908175506,-0.27244527136937924,2,clean
7,full,240,0.1688098990685759,2.304090702535129,1.757002466856442,-0.5470882356786873,2,clean
8,full,240,0.027752527779819625,1.1574619256846057,1.3890909127306639,0.23162898704605817,2,clean
9,full,240,0.05058937587190471,1.5818328696024915,0.9251283428612476,-0.6567045267412439,2,clean
0,full,240,0.024981929919125512,3.3723235044840045,3.5483329405694413,0.17600943608543673,3,clean
1,full,240,0.4656104127625476,3.284611501604603,3.706969114310971,0.42235761270636774,3,clean
2,full,240,0.02900163143902218,0.7162088984046617,2.689609194871434,1.9734002964667723,3,clean
3,full,240,0.020664863923303606,2.6315210323531724,1.9659811011198105,-0.6655399312333619,3,clean
4,full,240,0.029872517178400004,3.4832939610222438,2.8604832048840354,-0.6228107561382084,3,clean
5,full,240,0.024490034469054567,5.349929349829365,3.895294646238312,-1.454634703591053,3,clean
