seed,episode,condition,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,group
1,0,clean,0.006261992953699669,2.4228445871593705,3.116584172297174,0.6937395851378034,trained
1,1,clean,0.01356355447842561,1.2045527875502535,1.0009322501164157,-0.2036205374338378,trained
1,2,clean,0.05313350541815759,1.8632304830572903,1.8380814960549694,-0.025148987002320933,trained
1,3,clean,0.12128416874303097,3.35406947990561,3.0819019938430605,-0.27216748606254937,trained
1,4,clean,0.042989250924636124,3.1895933081565064,2.9191602773683485,-0.27043303078815795,trained
1,5,clean,0.056835476449106026,3.381322990076019,2.809468054812826,-0.5718549352631928,trained
1,6,clean,0.029749787660238503,2.8076584555880917,2.02341551896008,-0.7842429366280115,trained
1,7,clean,0.05189048976381298,2.866450121341078,2.4045879628380007,-0.4618621585030773,trained
1,8,clean,0.008715023273406342,3.5097368738431634,2.996327758713748,-0.5134091151294156,trained
1,9,clean,0.024019737079089845,1.7886946418278786,1.8213046934104207,0.03261005158254204,trained
2,0,clean,0.11680385044028985,2.292944577213144,2.363370080205133,0.07042550299198913,trained
2,1,clean,0.11353218431006384,2.722470760683184,2.1208057836806717,-0.6016649770025122,trained
2,2,clean,0.031747347100758105,2.874872141225361,2.0387190102852752,-0.8361531309400858,trained
2,3,clean,0.026481686593064126,1.1993255580926785,1.2131375898638925,0.01381203177121404,trained
2,4,clean,0.2697739139076978,2.355672815940568,2.596589321721243,0.24091650578067458,trained
2,5,clean,0.006991765915143833,2.767246073804374,2.0394346204898675,-0.7278114533145064,trained
2,6,clean,0.1583552217079115,2.4613651795448863,2.1889199081755057,-0.27244527136938057,trained
2,7,clean,0.1688098990685759,2.3040907025351283,1.757002466856442,-0.5470882356786864,trained
2,8,clean,0.027752527779819625,1.1574619256846057,1.3890909127306639,0.23162898704605817,trained
2,9,clean,0.023778885185940846,1.5818328696024915,0.9251283428612476,-0.6567045267412439,trained
3,0,clean,0.05456820431517687,3.3723235044840045,3.5483329405694413,0.17600943608543673,trained
3,1,clean,0.4656104127625476,3.284611501604603,3.706969114310971,0.42235761270636774,trained
3,2,clean,0.02344868861842664,0.7162088984046617,2.689609194871434,1.9734002964667723,trained
3,3,clean,0.005506252640009923,2.631521032353173,1.9659811011198105,-0.6655399312333623,trained
3,4,clean,0.01798771849515953,3.4832939610222438,2.8604832048840354,-0.6228107561382084,trained
3,5,clean,0.03550943631707698,5.349929349829365,3.895294646238312,-1.454634703591053,trained
3,6,clean,0.021173298848486566,4.377264164580346,3.70120452501823,-0.6760596395621161,trained
3,7,clean,0.06689418920819239,5.097459751321102,3.508415419157992,-1.5890443321631098,trained
3,8,clean,0.020255938244715468,5.308371145165383,4.185982090138458,-1.1223890550269253,trained
3,9,clean,0.1524113036698454,2.1080639351514323,1.7748950803672643,-0.333168854784168,trained
4,0,clean,0.045732811225333236,0.9372005377054677,2.325135251881387,1.387934714175919,trained
4,1,clean,0.05845461109420318,3.611413809716473,3.169543053950379,-0.44187075576609436,trained
4,2,clean,0.09220769077167873,2.05465336622823,1.520356308917444,-0.5342970573107859,trained
4,3,clean,0.010403528669925222,2.839592302292745,2.593646143232201,-0.2459461590605443,trained
4,4,clean,0.07526735097797885,1.5490899015659323,1.363888458256391,-0.18520144330954125,trained
4,5,clean,0.027109198481751584,1.8827702761483631,1.5821407731360466,-0.3006295030123165,trained
4,6,clean,0.0922201844758141,0.8102888624848198,1.2383432563749328,0.428054393890113,trained
4,7,clean,0.12260962674718062,2.497690053684379,2.0498130449964487,-0.44787700868793046,trained
4,8,clean,0.1586864354986044,1.3573562004050148,0.9358227861269733,-0.4215334142780415,trained
4,9,clean,0.014483291746132387,3.040821465377853,2.0528352253921405,-0.9879862399857124,trained
5,0,clean,0.04318269533217001,2.3814672704241104,3.335168195526666,0.9537009251025554,trained
5,1,clean,0.013738377545748692,2.333694068720657,2.553117065721753,0.2194229970010957,trained
5,2,clean,0.03613169228895367,3.560581084671022,3.6355311905176704,0.07495010584664819,trained
5,3,clean,0.033595366444570146,1.7638782663430554,1.1351819748700338,-0.6286962914730216,trained
5,4,clean,0.1525673425221341,4.05603633139677,3.3838759315687432,-0.672160399828027,trained
5,5,clean,0.015034351116272215,1.3982424505179536,1.9008205880776954,0.5025781375597418,trained
5,6,clean,0.04863427060342718,2.661389435750502,2.2879898292781418,-0.37339960647236037,trained
5,7,clean,0.02642763572057147,0.7042761520473455,1.2653992641356278,0.5611231120882822,trained
5,8,clean,0.04051205313194958,1.8574591205563749,1.30269685901112,-0.5547622615452548,trained
5,9,clean,0.102328218577727,5.111888480235626,2.9658222943115122,-2.1460661859241137,trained
1,0,clean,0.03169658508323947,3.8474263736669863,3.0730562826322827,-0.7743700910347036,untrained
1,1,clean,0.12067523442025441,3.0563316382011796,2.9480109649427853,-0.10832067325839434,untrained
1,2,clean,0.020567915395776404,3.139602503003712,2.660091971317406,-0.479510531686306,untrained
1,3,clean,0.009874342118513235,2.826901437979309,3.0720035719084913,0.24510213392918212,untrained
1,4,clean,0.011117115184118287,3.1010721828277688,2.656888194238274,-0.4441839885894949,untrained
1,5,clean,0.07905502955977607,4.2216296612610495,3.7242449650517084,-0.4973846962093411,untrained
