tau_bin,median,q25,q75,n,group
-280.0,2.7362245058057746,1.946595686139801,3.332731303051462,300,trained
-270.0,2.5134913300790527,1.7774674766373584,3.397514149421665,600,trained
-260.0,2.094265518781551,1.4799518978485848,2.8832034555783315,600,trained
-250.0,1.9170734904456905,1.3123275326557127,2.5912793660598776,600,trained
-240.0,1.6987985843215814,1.1882848117530336,2.3414219693202627,600,trained
-230.0,1.4526428071373958,1.0275712776104828,2.048364560432494,600,trained
-220.0,1.3366924229012593,0.941405650619829,1.8808087839738468,600,trained
-210.0,1.2103023102635397,0.9349592085294116,1.7710362154787733,600,trained
-200.0,1.1301161943237847,0.8628477575072919,1.557864777206818,600,trained
-190.0,1.1215540698451285,0.8361125497084608,1.45087161160234,600,trained
-180.0,1.0713380467961702,0.805099847114162,1.388880188800795,600,trained
-170.0,1.0780639611802776,0.8450261421344349,1.4020389554345796,600,trained
-160.0,1.0373477062483962,0.7987608759038403,1.3889468460305774,600,trained
-150.0,1.008364969112488,0.779719230542544,1.2782421263759205,600,trained
-140.0,0.9825162800297307,0.7738664141099352,1.2320872986036189,600,trained
-130.0,0.9536955244031455,0.7431753177373995,1.1964782430004743,600,trained
-120.0,0.9545361084785422,0.7595907480575604,1.2014011478815783,600,trained
-110.0,0.9480808882540628,0.7774496249859668,1.1952824839358542,600,trained
-100.0,0.954790040257067,0.7604319210729644,1.1614050621089318,600,trained
-90.0,0.9345851717039687,0.7362179754544262,1.1870236465743096,600,trained
-80.0,0.9125267591266597,0.736650883913635,1.1447364809074556,600,trained
-70.0,0.8864436931483495,0.7293140022498661,1.121789178951237,600,trained
-60.0,0.9071813321049612,0.7357123462032057,1.0980045524167112,600,trained
-50.0,0.8984874686085138,0.7214377954282004,1.1025338933206572,600,trained
-40.0,0.9389262012491756,0.7479967748682339,1.118024537439802,600,trained
-30.0,0.8083881557464558,0.6117095475141877,1.0629289784912035,600,trained
-20.0,1.0385742162613467,0.7353914484158939,1.4192172219704005,600,trained
-10.0,1.1922394556024722,0.8444826580938349,1.598257005418235,600,trained
-0.0,1.2992840414146434,0.8881087878767912,1.7483603675662223,600,trained
10.0,1.3984209249045731,0.9483497982000891,1.8329860889048266,600,trained
20.0,1.3593350735061096,1.017724527187096,1.734013555051318,600,trained
30.0,1.2305842375720983,0.9431061772480451,1.6234440568636215,600,trained
40.0,1.1112598807251923,0.7994797512218621,1.4273671636272713,600,trained
50.0,0.9972327367093433,0.7692571088242566,1.272052964556441,600,trained
60.0,0.9556888428954469,0.7307952372012286,1.2594228085754153,600,trained
70.0,0.9524280122083907,0.718721075458605,1.2308060304164594,600,trained
80.0,0.9334287388329068,0.7387548816995816,1.1976524948488958,600,trained
90.0,0.9208985799942269,0.7352654164250138,1.1261163330179889,600,trained
100.0,0.9015809115125151,0.7099389679254822,1.0966675800254584,600,trained
110.0,0.8718083932726479,0.6758901948755875,1.0759262455249685,600,trained
120.0,0.8647252317579084,0.684139305946423,1.0719352388784231,600,trained
130.0,0.847344599412326,0.676630069498338,1.0363429713465784,600,trained
140.0,0.8320971951374017,0.67324061781814,1.0560514284008962,600,trained
-280.0,3.1355156481814723,2.4353513945264265,4.112560250539657,300,untrained
-270.0,3.1242617769288885,2.3991359975559883,3.9493939389066317,600,untrained
-260.0,2.9652210587561445,2.1416956467504367,3.8024696557953526,600,untrained
-250.0,2.6429286268149808,1.893356452893443,3.4138978838231617,600,untrained
-240.0,2.46601309409603,1.7797797887840223,3.209698936852306,600,untrained
-230.0,2.2970299087153143,1.635534360722001,3.119737397076018,600,untrained
-220.0,2.3615707370028347,1.6127610099168674,3.0018764856040456,600,untrained
-210.0,2.2881957056847786,1.6134630206206955,2.913104449492658,600,untrained
-200.0,2.200251054502827,1.601299196036409,2.781928065021816,600,untrained
-190.0,2.1937482563693615,1.5741003663209412,2.8908936900459086,600,untrained
-180.0,2.1137185572953063,1.5329142029998737,2.8242384227148163,600,untrained
-170.0,2.1144574926593407,1.5462721302361828,2.6920322941978885,600,untrained
-160.0,2.0587250144568894,1.4398732951873803,2.7042253615484353,600,untrained
-150.0,1.9527697464343277,1.3589905589915503,2.6120941974085974,600,untrained
-140.0,1.883685462689848,1.3689576832889738,2.565192981802646,600,untrained
-130.0,1.9096755443836386,1.3023678576964857,2.4913339175751275,600,untrained
-120.0,1.836190311543339,1.3236940004717885,2.4366977856819294,600,untrained
-110.0,1.7306522310203758,1.2851498642155719,2.405605964962721,600,untrained
-100.0,1.6863951425684474,1.2472699594262133,2.45043512227088,600,untrained
-90.0,1.7045963858927755,1.1215285139916387,2.288479874196499,600,untrained
-80.0,1.6690818723990013,1.1653900812958033,2.2366438002202536,600,untrained
-70.0,1.709364119421987,1.1979196818749598,2.314680913363548,600,untrained
-60.0,1.6293861245138705,1.0903471131126596,2.2055237684533013,600,untrained
-50.0,1.5025567554622645,1.058865473577206,2.1418198780781714,600,untrained
-40.0,1.5487226335722326,1.0466710308454972,2.1253095564079283,600,untrained
-30.0,1.4801529697219034,1.0422176196547817,2.098490727701525,600,untrained
-20.0,1.428962942053697,1.049355201790614,1.9703505010572633,600,untrained
-10.0,1.4622281440658131,0.9981968922681019,1.9803590218991203,600,untrained
-0.0,1.422964135137375,0.9785293138754998,2.0129149084419033,600,untrained
10.0,1.3285315862380427,0.9265647449257213,1.931044385396868,600,untrained
20.0,1.3035828367242277,0.9200225505366576,1.9316661305387697,600,untrained
30.0,1.314539222406554,0.9345674587813434,1.950028235581279,600,untrained
40.0,1.3537318490694643,0.9457453882008651,1.9385135124891797,600,untrained
50.0,1.360846485417027,0.9600471697051295,1.9351965886470612,600,untrained
60.0,1.3533617029599427,0.9815376370200873,1.8697279234004471,600,untrained
70.0,1.408322890931744,0.987181257705758,1.9192368166593892,600,untrained
80.0,1.3332105223293944,0.9589341778844214,1.8755736723769558,600,untrained
90.0,1.3248811747566274,0.9750721040821781,1.8889179697845297,600,untrained
100.0,1.353726695191284,0.9678699553956858,1.9102301134230812,600,untrained
110.0,1.3614698165128962,0.953900863835324,1.8661363250299035,600,untrained
120.0,1.3603657898184236,0.932428612776485,1.876944889886119,600,untrained
130.0,1.2982486258264994,0.9460163088676016,1.8558556310582002,600,untrained
140.0,1.263221921646057,0.9383976604625405,1.8235234424653144,600,untrained
