seed,episode,phi_r_z,phi_r_g,phi_r_joint,delta_phi_r,group
1,0,0.0048248241036075445,3.9993822486543595,3.799385568188673,-0.19999668046568653,untrained
1,1,0.19847656958957013,5.172286273938422,4.112841310954791,-1.0594449629836307,untrained
1,2,0.013364460164167258,2.459228484058545,2.375814879630096,-0.08341360442844925,untrained
1,3,0.010461296613745202,4.161145000572548,3.6436634379383865,-0.5174815626341611,untrained
1,4,0.012616225611559506,4.401368622646485,3.989749729728351,-0.41161889291813436,untrained
1,5,0.024490816397357562,2.8291682241029648,3.7294180085502107,0.9002497844472459,untrained
1,6,0.02769244274077065,3.8948851542283243,3.7544215682081727,-0.14046358602015152,untrained
1,7,0.01447871162321504,4.0421707851758,3.8013160420055554,-0.24085474317024502,untrained
1,8,0.016733987602893727,3.5807295494549156,3.219234963674476,-0.3614945857804397,untrained
1,9,0.004767241370358763,4.018701143145719,3.71869268288826,-0.3000084602574593,untrained
2,0,0.013330927498178435,2.7572850562661997,2.7734219405318896,0.016136884265689933,untrained
2,1,0.0034107588251466314,2.896326090733699,2.7715177613779756,-0.12480832935572339,untrained
2,2,0.009135936916722681,2.6478403858251536,2.416851186668751,-0.2309891991564026,untrained
2,3,0.005762677392658733,2.2024827132328815,2.2797450144367337,0.07726230120385225,untrained
2,4,0.022189662270063137,3.272863584904634,3.021476500528049,-0.2513870843765851,untrained
2,5,0.1529124830764632,2.3337248685211454,3.042066749199791,0.7083418806786455,untrained
2,6,0.11530870350494005,2.3137219660857546,1.8655972280127837,-0.44812473807297093,untrained
2,7,0.07299569302831621,4.632628280032181,3.8124202867623826,-0.8202079932697983,untrained
2,8,0.005282621387710296,4.144848966919399,3.5938864974019658,-0.5509624695174336,untrained
2,9,0.039138835495123564,2.186198491526208,2.081229332967976,-0.10496915855823197,untrained
3,0,0.014864771881846817,1.971514405821801,1.4850447125260655,-0.48646969329573553,untrained
3,1,0.17039469988159506,2.751769497801239,2.579073872632237,-0.17269562516900194,untrained
3,2,0.013587485349346284,3.014476503368363,2.9244535115418584,-0.09002299182650475,untrained
3,3,0.004429682547493784,2.719989483040207,2.998441110237892,0.2784516271976849,untrained
3,4,0.008245085347818648,2.5339166084382634,2.7099092198862356,0.17599261144797218,untrained
3,5,0.018895727244096244,2.9685690512931755,2.960848827995991,-0.007720223297184692,untrained
3,6,0.01846152918589905,3.049994140680522,3.2558923470099916,0.20589820632946942,untrained
3,7,0.06594492741816393,1.5975912786053237,1.984999934431779,0.38740865582645534,untrained
3,8,0.03338473975670292,2.9301852059291917,3.2741357174981953,0.3439505115690036,untrained
3,9,0.05752089236719816,2.416964923329784,2.419370120885258,0.0024051975554741922,untrained
4,0,0.019790495722728924,2.577143492279137,2.3708442414259157,-0.20629925085322132,untrained
4,1,0.029449229230037677,1.2874228730282629,1.3630235632876608,0.07560069025939797,untrained
4,2,0.07472195764058492,2.3956441800838713,2.349176885144704,-0.046467294939167125,untrained
4,3,0.025165607634179382,2.59879611608716,2.346233244565101,-0.25256287152205914,untrained
4,4,0.24206863773244636,1.9311124871705514,2.049651475138565,0.11853898796801343,untrained
4,5,0.039484615202356965,1.4706653588666092,1.4014586687434893,-0.06920669012311986,untrained
4,6,0.005008968823232707,2.193057526768274,1.9895417514141556,-0.20351577535411836,untrained
4,7,0.037393513431399295,1.5099305626685267,2.110877498063123,0.6009469353945964,untrained
4,8,0.0171203814449028,2.5671471999111786,2.476581756803397,-0.09056544310778136,untrained
4,9,0.015525632492497304,1.8805523736742376,2.048474904077714,0.1679225304034766,untrained
5,0,0.010120520597273294,3.6907914962462844,3.247615148042244,-0.4431763482040405,untrained
5,1,0.008269462506159647,1.4359211236364753,2.445457822159539,1.0095366985230636,untrained
5,2,0.03350102854352949,3.49247790169416,3.075010046271914,-0.41746785542224574,untrained
5,3,0.03047662353458752,3.239283670815056,3.232256495888972,-0.007027174926083735,untrained
5,4,0.01000630117219542,2.833597099079198,2.437927808654679,-0.3956692904245189,untrained
5,5,0.045233604816439454,3.633650442689225,3.685817001552842,0.052166558863616874,untrained
5,6,0.0016210007567544205,2.1546174265191724,2.9625013155388804,0.807883889019708,untrained
5,7,0.007870860344656408,2.3822801568174574,2.6212890998341645,0.23900894301670705,untrained
5,8,0.009944862781630398,2.441508667156285,2.300156461200198,-0.14135220595608722,untrained
5,9,0.10149194324970731,3.159521573358714,3.0048449512222355,-0.1546766221364786,untrained
6,0,0.005043253424034444,2.99148646376067,3.45111925467421,0.45963279091354003,untrained
6,1,0.12336849420106225,3.4180468324056124,3.5126093145894366,0.09456248218382424,untrained
6,2,0.02015952649990893,3.1707110376004186,3.2430748791787085,0.0723638415782899,untrained
6,3,0.007939616544069973,4.187254212512677,3.0791913450250505,-1.1080628674876265,untrained
6,4,0.06765677259269866,3.558263634553621,3.6384413674586025,0.08017773290498154,untrained
6,5,0.008246573931637427,3.6379077010063043,3.7975020288304564,0.15959432782415206,untrained
6,6,0.0147269485194923,2.6708983713486947,3.5930331848676214,0.9221348135189267,untrained
6,7,0.028645535703067382,3.1427731869509214,3.1263784862668715,-0.016394700684049912,untrained
6,8,0.009859403985599716,2.9535444703384277,3.0465676829010526,0.09302321256262491,untrained
6,9,0.012173019440576652,2.5777293612832555,2.1684590863143107,-0.40927027496894475,untrained
7,0,0.0185768235672083,3.890506342318011,3.8888819054400536,-0.0016244368779574359,untrained
7,1,0.025772649515419035,3.4740221045884514,3.344633746093676,-0.12938835849477526,untrained
7,2,0.03936953201958737,3.3786447646753563,3.6046279526672897,0.2259831879919334,untrained
7,3,0.0043791377048594815,2.8686389142550928,2.6120679822373027,-0.25657093201779,untrained
7,4,0.004941979546910599,2.2688461205137442,2.419470456500739,0.15062433598699476,untrained
7,5,0.015946336577643064,3.4079340180673863,4.019730658256067,0.6117966401886803,untrained
7,6,0.016726407471089888,4.1654450822549745,3.5034276289212203,-0.6620174533337542,untrained
7,7,0.006899723057797402,5.261869686755601,4.522929067824411,-0.7389406189311893,untrained
7,8,0.0166899699705903,3.532567432064544,2.2955124618170384,-1.2370549702475055,untrained
7,9,0.002628143821346185,5.180005265579226,4.176029263771348,-1.003976001807878,untrained
8,0,0.008976911851798025,2.3807581633820902,2.3270110596331444,-0.05374710374894587,untrained
8,1,0.004701707260400142,2.2137958302913936,2.248099280069659,0.03430344977826527,untrained
8,2,0.025723710445175144,2.6046133789624935,3.359777359994911,0.7551639810324176,untrained
8,3,0.008588913034298463,1.8989273521087582,1.8564999900467827,-0.042427362061975504,untrained
8,4,0.003070198242329264,1.6736479376655404,1.5585632412519859,-0.11508469641355457,untrained
8,5,0.00972310900164361,1.7831425687256273,1.6094418238223895,-0.17370074490323772,untrained
8,6,0.004447487460670217,1.9913555551573192,2.55445102507578,0.5630954699184607,untrained
8,7,0.034010050802875946,2.2141283234598217,2.147380665117175,-0.06674765834264651,untrained
8,8,0.0030381312053610124,2.544704894850157,2.355342798467259,-0.18936209638289814,untrained
8,9,0.017103902215331274,2.578405524762638,1.9812047876068954,-0.5972007371557424,untrained
9,0,0.01025515434514343,3.225349045613035,3.2985455135586355,0.07319646794560031,untrained
9,1,0.012181293244417496,3.0746202889297973,2.7642928596884033,-0.310327429241394,untrained
9,2,0.008588704290672544,3.546935111224594,2.715541048471708,-0.831394062752886,untrained
9,3,0.014320596439140298,3.4114200002425883,3.8235534760921372,0.41213347584954896,untrained
9,4,0.03312021757532746,3.6927537354484987,3.1766523528038495,-0.5161013826446492,untrained
9,5,0.010076903409189472,3.7197160411936645,2.8625686675785067,-0.8571473736151578,untrained
9,6,0.03607430072531248,3.7161539214351778,3.3420096642476738,-0.374144257187504,untrained
9,7,0.04971617827924778,3.1290964899479965,3.6263937103874264,0.4972972204394299,untrained
9,8,0.016037924821425298,3.893841304160247,3.2632681245653203,-0.6305731795949265,untrained
9,9,0.126325554686474,1.4899779588027822,1.4232790590432534,-0.0666988997595288,untrained
10,0,0.016753094962968132,3.936123473599577,3.4427015236764857,-0.4934219499230914,untrained
10,1,0.001221387319800149,3.615830402215682,4.27723936336953,0.6614089611538478,untrained
10,2,0.012996127525729834,4.02080538813337,3.8448253496819316,-0.1759800384514385,untrained
10,3,0.012304847084723347,4.130943690262072,4.268150390763982,0.13720670050191064,untrained
10,4,0.028651518853591185,2.4867396582307806,4.190466959505704,1.7037273012749234,untrained
10,5,0.010605103099535579,3.7780023355770713,4.430096838251271,0.6520945026741995,untrained
10,6,0.05876060469561595,3.717369611179599,4.477727546495789,0.7603579353161898,untrained
10,7,0.010570602331067963,4.049495867501513,3.490234921556754,-0.5592609459447586,untrained
10,8,0.009312694530950405,3.6815684382441267,3.2820581382946434,-0.3995102999494833,untrained
10,9,0.004652645986696596,2.522417870540251,3.408727708093499,0.8863098375532479,untrained
11,0,0.02468505904361616,1.711712700258443,1.8703020022657437,0.15858930200730081,untrained
11,1,0.03138896404545927,1.5733554430028605,1.199985175304857,-0.3733702676980035,untrained
11,2,0.06531891327959953,1.599154155280858,1.870562745520785,0.27140859023992703,untrained
11,3,0.039104053415989465,1.4242224870275972,1.417816268432233,-0.006406218595364166,untrained
11,4,0.12337115010068866,1.4538734433611586,1.3990862396016661,-0.05478720375949253,untrained
11,5,0.00812654873427432,2.5564381014012403,2.7135814268225533,0.15714332542131304,untrained
11,6,0.009384155181507065,1.5221538657819071,2.4347433642814593,0.9125894984995522,untrained
11,7,0.007529515414005046,1.847221607839532,1.2518260017874545,-0.5953956060520775,untrained
11,8,0.006543247904465629,1.8362699588312474,1.27827744578723,-0.5579925130440175,untrained
11,9,0.05128306121933568,1.8449525435115282,2.1295891327411858,0.2846365892296576,untrained
12,0,0.006272528366479832,3.774597432572029,4.121370647825341,0.34677321525331184,untrained
12,1,0.009531833547548746,2.5078938310743317,4.2538391297529285,1.7459452986785968,untrained
12,2,0.013253274088454059,4.344285971275113,4.404358872219634,0.06007290094452067,untrained
12,3,0.01768643903065037,1.9091287892345385,2.488345613858061,0.5792168246235225,untrained
12,4,0.02245352920776658,4.267351629724028,4.2220598105826035,-0.04529181914142466,untrained
12,5,0.015077780793898876,1.7552349074108513,2.018353098362655,0.2631181909518039,untrained
12,6,0.010439518076163681,4.378960934353692,4.49702169611421,0.11806076176051761,untrained
12,7,0.008563081293820607,2.5187274668593,2.797749201467924,0.27902173460862434,untrained
12,8,0.014089522327286191,3.97778597907745,3.3644277112672434,-0.6133582678102067,untrained
12,9,0.011934789796411882,3.8569622149206406,3.885726894269546,0.028764679348905364,untrained
13,0,0.008219802104303744,2.5428428717543863,2.378803786138357,-0.1640390856160292,untrained
13,1,0.02969243428727164,1.780417929829727,1.5779167741671518,-0.2025011556625751,untrained
13,2,0.018492348854813656,2.393571064222579,2.412028917809235,0.018457853586656192,untrained
13,3,0.01280006383697413,2.3584252047814296,1.9596038521311823,-0.3988213526502473,untrained
13,4,0.08263424559140463,2.666366908771006,3.230205927023503,0.563839018252497,untrained
13,5,0.045254087464871556,3.0835516956030613,3.2652938197989787,0.1817421241959174,untrained
13,6,0.08339447808708467,2.0425762961171605,2.2886627715840566,0.2460864754668961,untrained
13,7,0.06111548740972009,3.5122583894094364,3.433280957038122,-0.07897743237131438,untrained
13,8,0.017443339388500956,2.6790914368907996,2.1780803541268616,-0.501011082763938,untrained
13,9,0.03983694017241246,2.6954794153845794,2.2265440080703165,-0.46893540731426286,untrained
14,0,0.052235049997925276,3.94127283066986,1.8723713594022466,-2.0689014712676137,untrained
14,1,0.05609170844357919,2.6200737496852007,2.282341103053427,-0.3377326466317738,untrained
14,2,0.15235968714330675,2.926138694656149,2.5361569929505485,-0.3899817017056004,untrained
14,3,0.01139591669210449,3.5199035163365044,2.550382345685657,-0.9695211706508475,untrained
14,4,0.040500390254928326,3.0132072733121884,2.4226767276902623,-0.5905305456219261,untrained
14,5,0.026978658672824646,3.3033775445892464,2.0460688229057524,-1.257308721683494,untrained
14,6,0.050249926410697365,3.727118045189585,2.158105612734977,-1.569012432454608,untrained
14,7,0.16933867805570582,2.3125690486687303,2.1263956191217304,-0.1861734295469999,untrained
14,8,0.016743431559880867,2.1339826318219837,1.7848821772911452,-0.3491004545308385,untrained
14,9,0.030988017203484985,3.658299260204551,2.6314587669287612,-1.02684049327579,untrained
15,0,0.014627744661027453,2.6139218125277974,3.120763054764712,0.5068412422369146,untrained
15,1,0.025423160828906083,1.559746942349137,2.443433724503038,0.8836867821539012,untrained
15,2,0.00918736250762732,3.9154921873873083,3.5292396419710848,-0.38625254541622356,untrained
15,3,0.07473522071058852,3.779902314959534,3.804558931475525,0.024656616515990937,untrained
15,4,0.01381583982922796,2.2087810815781665,3.2695657926287574,1.0607847110505908,untrained
15,5,0.004315456104492854,4.026463886513589,3.672758847597505,-0.3537050389160843,untrained
15,6,0.011394852126693777,2.7127967350815148,3.2023040404542407,0.4895073053727259,untrained
15,7,0.0053529386106834775,1.7684008465285177,1.814101515532652,0.04570066900413439,untrained
15,8,0.008536479989112097,2.50343103564093,3.0119507927476272,0.5085197571066971,untrained
15,9,0.0014203418714051896,3.704789213532414,3.3497549446169463,-0.3550342689154675,untrained
16,0,0.08705683796099806,2.9814252607576597,2.975384156043197,-0.0060411047144626195,untrained
16,1,0.12451760143248708,3.52540979588478,2.944730085469832,-0.5806797104149481,untrained
16,2,0.01566302211066667,2.2017880903618834,2.728234624639937,0.5264465342780538,untrained
16,3,0.0795035879258558,3.3846495670929246,3.2320889772233965,-0.15256058986952814,untrained
16,4,0.02466505294757937,3.1675195268599676,3.3193626503123363,0.15184312345236872,untrained
16,5,0.09790107081252486,3.004218940080335,2.874373125948153,-0.1298458141321821,untrained
16,6,0.02953879827005223,4.132745037472704,3.7212934200464645,-0.4114516174262395,untrained
16,7,0.01290689607760015,2.898770363371649,2.7707661199414595,-0.12800424343018957,untrained
16,8,0.027635748056494158,2.644573195567683,2.8289345328170077,0.18436133724932446,untrained
16,9,0.0719202181185506,2.317677484422072,2.884697935717583,0.567020451295511,untrained
17,0,0.0024779960823131525,3.9167627798950826,3.7365141407483837,-0.18024863914669886,untrained
17,1,0.012543454127369277,4.119296384644341,3.9336297766411072,-0.18566660800323342,untrained
17,2,0.006448463203997598,5.353265107509485,3.9961755638305374,-1.3570895436789479,untrained
17,3,0.00794197671049901,4.8753429740497385,4.016368661007362,-0.8589743130423768,untrained
17,4,0.05079382173162739,5.342587749395296,4.001380240981494,-1.3412075084138024,untrained
17,5,0.0060635176442556254,4.337206140054222,3.9700251128977375,-0.36718102715648415,untrained
17,6,0.006453188020207841,3.9943885721529186,3.494864498013609,-0.49952407413930944,untrained
17,7,0.05109267885122393,4.858472102683114,3.6374372308393146,-1.2210348718437998,untrained
17,8,0.03271081486244301,5.058188437570022,3.733171391742257,-1.3250170458277655,untrained
