seed,episode,phi_g_orig,phi_g_shuf,group
1,0,1.2888589230862166,0.005951110784904577,trained
1,1,1.3039485113186429,0.010659295934954127,trained
1,2,1.4853191730310418,0.01473832798478808,trained
1,3,0.9228931673655085,0.010462680593068922,trained
1,4,1.143497588285448,0.0039987650488750815,trained
1,5,0.9326523441586398,0.00882638880718889,trained
1,6,1.5559442832434607,0.008187973054087657,trained
1,7,0.9100246755662109,0.007341319616087101,trained
1,8,1.139856395064662,0.004369896611053674,trained
1,9,1.175272300891609,0.008023111884413717,trained
2,0,1.1579353837852238,0.007460420042403812,trained
2,1,1.3443360898194134,0.007195291254410363,trained
2,2,1.6475951620388267,0.00777792939218903,trained
2,3,1.2887960764185626,0.0139877876726265,trained
2,4,1.4657304554047328,0.006946467431329148,trained
2,5,1.2040759529487286,0.013844134865018703,trained
2,6,1.302226847725947,0.004878779099028866,trained
2,7,1.5329470560132963,0.010890184895521177,trained
2,8,1.2567565850185038,0.0052614109462653285,trained
2,9,1.1149090118058513,0.008345963430695857,trained
3,0,1.136315141432193,0.015438797547587813,trained
3,1,1.3154825633035387,0.010716841885125622,trained
3,2,1.12861536710556,0.004888406872061518,trained
3,3,1.3196741732114583,0.006741597976385543,trained
3,4,3.829081564346754,0.00701455502625496,trained
3,5,3.1520091014299765,0.012032787395993476,trained
3,6,0.8958792145380482,0.007982746010126149,trained
3,7,1.82105973222694,0.006955210457423237,trained
3,8,1.4565789339936654,0.011486720235372514,trained
3,9,1.4187697531195866,0.010513539419453544,trained
4,0,1.2076699537325315,0.01144143247465453,trained
4,1,3.9341730203238128,0.00818921303165402,trained
4,2,0.8933017884335575,0.006931416950465123,trained
4,3,1.2789819421793365,0.013629654413349734,trained
4,4,1.1091210904991873,0.010806903539172972,trained
4,5,1.106079678605472,0.01381959084903956,trained
4,6,1.4647434938201707,0.010030240181159061,trained
4,7,1.0489172042296557,0.006645364697777582,trained
4,8,2.3572697584369786,0.0048526213276780085,trained
4,9,1.5951814993459883,0.01048914923146245,trained
5,0,0.787869705662254,0.013111468368808055,trained
5,1,0.8686531269246026,0.012496155732358988,trained
5,2,1.1581774920799195,0.007497482765724826,trained
5,3,1.7599129893906875,0.008038841058068832,trained
5,4,1.0485086648806639,0.0037069852049122685,trained
5,5,1.1641414314262821,0.005994267772217052,trained
5,6,1.0290559102474703,0.006634201271134124,trained
5,7,0.8757314053577885,0.011929514626219809,trained
5,8,1.3575567640033932,0.010789781524605246,trained
5,9,1.4812917809295363,0.005218891006648564,trained
6,0,1.6302148873795372,0.00854710525112054,trained
6,1,1.3532904009859539,0.004830457305374648,trained
6,2,1.5924857942549095,0.0063168389561394514,trained
6,3,1.1892956498413678,0.010149802140665083,trained
6,4,1.3750148869653736,0.007655620590688361,trained
6,5,1.2852431725186975,0.009172467690485187,trained
6,6,1.7029265212829678,0.01065491384301881,trained
6,7,1.1067425264926747,0.012259323035445677,trained
6,8,0.9887517475546147,0.007969484198768842,trained
6,9,1.5762199893808724,0.0069022269784631,trained
7,0,1.4379364493402393,0.01166039720048924,trained
7,1,1.325844225596129,0.010641971103651745,trained
7,2,1.502855576896319,0.005285728251707515,trained
7,3,1.8070157109064127,0.008545040652395948,trained
7,4,2.5185097397096676,0.008793568861720086,trained
7,5,1.1032141561945654,0.003939908945953669,trained
7,6,0.9977009751056802,0.010555508222260276,trained
7,7,1.8519020694121857,0.0133299975156013,trained
7,8,1.254824911161126,0.0050299800653414994,trained
7,9,1.2373137077116105,0.003588436722786655,trained
8,0,1.2329436723407623,0.013216813330660123,trained
8,1,0.6200684094963574,0.008656640240809492,trained
8,2,1.1375064661403318,0.01833902777923213,trained
8,3,0.9317237771215992,0.006687912770560744,trained
8,4,0.9896179497992743,0.008125808181262689,trained
8,5,1.5390933267967162,0.00603564866450509,trained
8,6,1.4479395927422878,0.012300762960678701,trained
8,7,1.5225691582892469,0.00817248225211785,trained
8,8,1.1100606453615247,0.013085439835893076,trained
8,9,1.004375947684942,0.005292397742393308,trained
9,0,1.2076848157835323,0.0056217452230615346,trained
9,1,1.300347547318736,0.0060970692128241395,trained
9,2,2.733710453603814,0.009401031005186864,trained
9,3,2.937297284708837,0.009887377150010377,trained
9,4,2.3019749578043465,0.004298345766475142,trained
9,5,1.201573629686692,0.008615884490949705,trained
9,6,1.6300468389002323,0.009859370465945113,trained
9,7,2.988626965147474,0.011670123558295775,trained
9,8,1.526993218237081,0.00910694806526622,trained
9,9,2.7781801336650727,0.009489923921874041,trained
10,0,1.5713274104918318,0.005551630238038091,trained
10,1,0.9364143262951045,0.007167327705358194,trained
10,2,1.168024897097399,0.005642269388682827,trained
10,3,1.0894967204735122,0.015097357829231,trained
